Recent ^jj+atrb+++=Recent
the ^ati++++=the
phenotype ^nn+++??+=phenotype
and ^cc++++=and
longevity ^nn++++=longevity
of ^in++++=of
exhausted ^jj+++xvbn+=exhausted
T ^zz++++=T
cells ^nns++++=cells
in ^in++++=in
chronic ^jj+atrb+++=chronic
viral ^nn+++??+=viral
infection ^nn++++=infection
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
571 ^cd++++=571
: ^zz++++=:265-269
265 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
269 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(156)
156 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Chen ^np+++??+=Chen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019b ^cd++++=2019b
14 ^cd++++=14.
. ^zz++++=EXTRAWORD
Chen ^np+++??+=Chen,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ji ^np+++??+=Ji,
, ^zz++++=EXTRAWORD
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
Ngiow ^np+++??+=Ngiow,
, ^zz++++=EXTRAWORD
S.f ^np+++??+=S.F.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tcf ^np+++??+=TCF-1-Centered
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
centered ^vbd+++xvbn+=EXTRAWORD
Transcriptional ^np+++??+=Transcriptional
Network ^nn++++=Network
Drives ^nns++++=Drives
an ^at++++=an
Effector ^np+++??+=Effector
versus ^in++++=versus
Exhausted ^vprf+++xvbn+=Exhausted
Cd8 ^np+++??+=CD8
T ^zz++++=T
Cell ^nn++++=Cell-Fate
- ^zz++++=EXTRAWORD
fate ^nn++++=EXTRAWORD
Decision ^nn++++=Decision
Immunity ^nn++++=Immunity.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
51 ^cd++++=51
: ^zz++++=:840-855.e5
840 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
855.e5 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(85)
85 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Im ^np+++??+=Im
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
29 ^cd++++=29.
. ^zz++++=EXTRAWORD
Im ^np+++??+=Im,
, ^zz++++=EXTRAWORD
S.j ^np+++??+=S.J.
. ^zz++++=EXTRAWORD
Hashimoto ^np+++??+=Hashimoto,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Gerner ^np+++??+=Gerner,
, ^zz++++=EXTRAWORD
M.y ^np+++??+=M.Y.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Defining ^vbg+++xvbg+=Defining
Cd8 ^np+++??+=CD8+
+ ^zz++++=EXTRAWORD
T ^zz++++=T
cells ^nns++++=cells
that ^tht+rel+subj++=that
provide ^vb+vsua+tht0++=provide
the ^ati++++=the
proliferative ^nn++++=proliferative
burst ^vbd+++xvbn+=burst
after ^in++++=after
Pd ^np+++??+=PD-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
therapy ^nn++++=therapy
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
537 ^cd++++=537
: ^zz++++=:417-421
417 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
421 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(549)
549 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Khan ^npt++++=Khan
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
35 ^cd++++=35.
. ^zz++++=EXTRAWORD
Khan ^npt++++=Khan,
, ^zz++++=EXTRAWORD
O ^zz++++=O.
. ^zz++++=EXTRAWORD
Giles ^np+++??+=Giles,
, ^zz++++=EXTRAWORD
J.r ^np+++??+=J.R.
. ^zz++++=EXTRAWORD
Mcdonald ^np+++??+=McDonald,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tox ^np+++??+=TOX
transcriptionally ^nn+++??+=transcriptionally
and ^cc++++=and
epigenetically ^nn+++??+=epigenetically
programs ^nns+++??+=programs
Cd8 ^np+++??+=CD8+
+ ^zz++++=EXTRAWORD
T ^zz++++=T
cell ^nn++++=cell
exhaustion ^nn++++=exhaustion
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
571 ^cd++++=571
: ^zz++++=:211-218
211 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
218 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(213)
213 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Utzschneider ^np+++??+=Utzschneider
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
88 ^cd++++=88.
. ^zz++++=EXTRAWORD
Utzschneider ^np+++??+=Utzschneider,
, ^zz++++=EXTRAWORD
D.t ^np+++??+=D.T.
. ^zz++++=EXTRAWORD
Charmoy ^np+++??+=Charmoy,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Chennupati ^np+++??+=Chennupati,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
T ^zz++++=T
Cell ^nn++++=Cell
Factor ^nn++++=Factor
1 ^zz++++=1-Expressing
- ^zz++++=EXTRAWORD
expressing ^vbg+++xvbg+=EXTRAWORD
Memory ^nn++++=Memory-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
Cd8 ^np+++??+=CD8(
( ^zz++++=EXTRAWORD
+ ^zz++++=+
) ^zz++++=)
T ^zz++++=T
Cells ^nns++++=Cells
Sustain ^vb++++=Sustain
the ^ati++++=the
Immune ^jj+atrb+++=Immune
Response ^nn++++=Response
to ^in++++=to
Chronic ^jj+atrb+++=Chronic
Viral ^np+++??+=Viral
Infections ^np+++??+=Infections
Immunity ^nn++++=Immunity.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
45 ^cd++++=45
: ^zz++++=:415-427
415 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
427 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
observations ^nns++++=observations
provoke ^vb++++=provoke
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
whether ^cs+who+++=whether
fostering ^nn+++??+=fostering
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
T ^zz++++=T
Eff ^np+++??+=EFF
cell ^nn++++=cell
fate ^nn++++=fate
necessarily ^rb++++=necessarily
comes ^vbz++++=comes
at ^in+cmpx+++=at
the ^in"++++=the
expense ^in"++++=expense
of ^in"++++=of
losing ^xvbg+++xvbg+=losing
the ^ati++++=the
T ^zz++++=T
Mem ^np+++??+=MEM
or ^cc++++=or
T ^zz++++=T
Ex ^jjb+atrb+++=EX
lineage ^nn+++??+=lineage.
. ^zz++++=EXTRAWORD
Fli1 ^np+++??+=Fli1
represents ^vbz++++=represents
a ^at++++=a
distinct ^jj+atrb+++=distinct
type ^nn++++=type
of ^in++++=of
damper ^nn+++??+=damper
on ^in++++=on
an ^at++++=an
otherwise ^rb+cnj+++=otherwise
robust ^jj+atrb+++=robust
feed ^nn++++=feed-forward
- ^zz++++=EXTRAWORD
forward ^rb++++=EXTRAWORD
effector ^nn+++??+=effector
transcriptional ^nn+++??+=transcriptional
circuit ^nn++++=circuit.
. ^zz++++=EXTRAWORD
By ^in++++=By
restraining ^jj++++=restraining
the ^ati++++=the
Runx3 ^np+++??+=Runx3
node ^nn+++??+=node
in ^in++++=in
the ^ati++++=the
effector ^nn+++??+=effector
wiring ^nn++++=wiring,
, ^zz++++=EXTRAWORD
Fli1 ^np+++??+=Fli1
tempers ^nns++++=tempers
a ^at++++=a
central ^nn++++=central
step ^vb++++=step
that ^dt+dem+++=that
not ^xnot++not++=not
only ^rb+down+++=only
directly ^rb++++=directly
controls ^nns++++=controls
expression ^nn++++=expression
of ^in++++=of
key ^jjb+atrb+++=key
effector ^jj+atrb++??+=effector
genes ^nns++++=genes
but ^cc++++=but
also ^rb++++=also
positively ^rb++++=positively
reinforces ^vbz++++=reinforces
other ^ap++++=other
cooperating ^nn+++??+=cooperating
effector ^nn+++??+=effector
Tfs ^np+++??+=TFs.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
Tcf ^np+++??+=TCF-1
- ^zz++++=EXTRAWORD
1 ^zz++++=EXTRAWORD
and ^cc++++=and
Tox ^np+++??+=Tox,
, ^zz++++=EXTRAWORD
Fli1 ^np+++??+=Fli1
is ^vbz+bez+aux++=is
not ^xnot++not++=not
required ^vbd+++xvbn+=required
for ^in++++=for
progenitor ^nn+++??+=progenitor
biology ^nn++++=biology
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
both ^abx++++=both
T ^zz++++=T
Eff ^np+++??+=EFF
cells ^nns++++=cells
and ^cc++++=and
T ^zz++++=T
Mp ^npt++++=MP
( ^zz++++=(in
in ^in++++=EXTRAWORD
acutely ^rb++++=acutely
resolved ^jj+atrb++xvbn+=resolved
infections ^nns++++=infections)
) ^zz++++=EXTRAWORD
or ^cc++++=or
T ^zz++++=T
Ex ^jjb+atrb+++=EX
progenitor ^nn+++??+=progenitor
cells ^nns++++=cells
( ^zz++++=(in
in ^in++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
infection ^nn++++=infection)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
increased ^vpsv++agls+xvbnx+=increased
in ^in++++=in
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
Fli1 ^np+++??+=Fli1.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
by ^in++++=by
interrupting ^xvbg+++xvbg+=interrupting
this ^dt+dem+++=this
damper ^nn+++??+=damper
in ^in++++=in
the ^ati++++=the
circuit ^nn++++=circuit,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
deleting ^nn+++??+=deleting
the ^ati++++=the
master ^nn++++=master
switch ^nn++++=switch
of ^in++++=of
T ^zz++++=T
Mp ^npt++++=MP
or ^cc++++=or
T ^zz++++=T
Ex ^jjb+atrb+++=EX
differentiation ^nn++++=differentiation
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
augment ^vbi++++=augment
beneficial ^jj+atrb+++=beneficial
aspects ^nns++++=aspects
of ^in++++=of
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
protective ^jj+atrb+++=protective
immunity ^nn++++=immunity
without ^in++++=without
compromising ^jj++++=compromising
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
immunity ^nn++++=immunity.
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
data ^nns++++=data
reveal ^vb+vprv+++=reveal
a ^at++++=a
mechanism ^nn++++=mechanism
of ^in++++=of
competition ^nn++++=competition
for ^in++++=for
epigenetic ^nn+++??+=epigenetic
access ^nn++++=access
between ^in++++=between
Fli1 ^np+++??+=Fli1
and ^cc++++=and
other ^ap++++=other
factors ^nns++++=factors
that ^tht+rel+subj++=that
bind ^vb++++=bind
at ^rb++++=at
Ets:runx ^np+++??+=ETS:RUNX
motifs ^nns++++=motifs.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
effects ^nns++++=effects
may ^md+pos+++=may
manifest ^jj++++=manifest
because ^cs+cos+++=because
Fli1 ^np+++??+=Fli1
occupies ^vbz++++=occupies
genomic ^jj+atrb++??+=genomic
locations ^nns++++=locations
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
bound ^vpsv++by+xvbnx+=bound
by ^in++++=by
Ets:runx ^np+++??+=ETS:RUNX
family ^nn++++=family
Tfs ^np+++??+=TFs
that ^tht+rel+subj++=that
would ^md+prd+++=would
catalyze ^vb+++??+=catalyze
chromatin ^nn+++??+=chromatin
accessibility ^nn++++=accessibility
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
effects ^nns++++=effects
