Next ^ap++++=Next,
suggested ^vbd+vpub++xvbn+=suggested
the ^ati++++=the
hypothesis ^nn++++=hypothesis
that ^tht+ncmp+++=that
Zbed2 ^np+++??+=ZBED2
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
differentiation ^nn++++=differentiation
or ^cc++++=or
function ^nn++++=function
of ^in++++=of
cytotoxic ^nn+++??+=cytotoxic
T ^zz++++=T
Fh ^np+++??+=FH
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
further ^jjb+atrb+++=further
studies ^nns++++=studies
will ^md+prd+++=will
be ^vb+be+aux++=be
needed ^vbd+++xvbn+=needed
to ^to+vcmp+++=to
verify ^vb+vpub+tht0++=verify
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
