Otus ^np+++??+=OTUs
2868 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(905)
905 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can
leverage ^vb++++=leverage
the ^ati++++=the
technique ^nn++++=technique
s ^zz++++=s
speed ^nn++++=speed
for ^in++++=for
the ^ati++++=the
many ^ap++++=many
pairwise ^nn+++??+=pairwise
comparisons ^nns++++=comparisons
needed ^vwbn+++xvbn+=needed
in ^in++++=in
this ^dt+dem+++=this
granular ^nn+++??+=granular
step ^vb++++=step.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
primary ^jj+atrb+++=primary
clusters ^nns++++=clusters,
, ^zz++++=EXTRAWORD
Mags ^np+++??+=MAGs
were ^vbd+bed+aux++=were
compared ^vpsv++agls+xvbnx+=compared
pairwise ^nn+++??+=pairwise
by ^in++++=by
a ^at++++=a
more ^rbr++++=more
accurate ^jj++++=accurate
whole ^jj++++=whole-genome
- ^zz++++=EXTRAWORD
genome ^nn+++??+=EXTRAWORD
Ani ^np+++??+=ANI
( ^zz++++=(gANI)
gani ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
via ^in++++=via
dnadiff ^nn+++??+=dnadiff
( ^zz++++=(v1.3)
v1.3 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
Mummer ^np+++??+=MUMmer
( ^zz++++=(v3.23
v3.23 ^nn+++??+=EXTRAWORD
Kurtz ^np+++??+=Kurtz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2004)
2004 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
38 ^cd++++=38.
. ^zz++++=EXTRAWORD
Kurtz ^np+++??+=Kurtz,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Phillippy ^np+++??+=Phillippy,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Delcher ^np+++??+=Delcher,
, ^zz++++=EXTRAWORD
A.l ^np+++??+=A.L.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Versatile ^jj+atrb+++=Versatile
and ^cc+phrs+++=and
open ^jj+atrb+++=open
software ^nn+++??+=software
for ^in++++=for
comparing ^xvbg+++xvbg+=comparing
large ^jj+atrb+++=large
genomes ^nns+++??+=genomes
Genome ^np+++??+=Genome
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
5 ^zz++++=5
: ^zz++++=:R12
r12 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Secondary ^jj++++=Secondary,
, ^zz++++=EXTRAWORD
more ^ql++++=more
refined ^jj+atrb++xvbn+=refined
clusters ^nns++++=clusters
were ^vbd+bed+aux++=were
grouped ^vpsv++agls+xvbnx+=grouped
based ^xvbn+++xvbn+=based
n ^zz++++=n
gani ^nn+++??+=gANI
using ^vwbg+++xvbg+=using
average ^jj++++=average-linkage
- ^zz++++=EXTRAWORD
linkage ^nn++++=EXTRAWORD
hierarchical ^nn+++??+=hierarchical
clustering ^vwbg+++xvbg+=clustering
from ^in++++=from
the ^ati++++=the
R ^zz++++=R
package ^nn++++=package
dendextend ^nn+++??+=dendextend
( ^zz++++=(v1.12.0
v1.12.0 ^nn+++??+=EXTRAWORD
Galili ^np+++??+=Galili
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
23 ^cd++++=23.
. ^zz++++=EXTRAWORD
Galili ^np+++??+=Galili,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
dendextend ^nn+++??+=dendextend:
: ^zz++++=EXTRAWORD
an ^at++++=an
R ^zz++++=R
package ^nn++++=package
for ^in++++=for
visualizing ^nn+++??+=visualizing,
, ^zz++++=EXTRAWORD
adjusting ^jj+atrb++xvbg+=adjusting
and ^cc+phrs+++=and
comparing ^jj+atrb++xvbg+=comparing
trees ^nns++++=trees
of ^in++++=of
hierarchical ^nn+++??+=hierarchical
clustering ^vwbg+++xvbg+=clustering
Bioinformatics ^np+++??+=Bioinformatics.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
31 ^cd++++=31
: ^zz++++=:3718-3720
3718 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
3720 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(1014)
1014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
gani ^nn+++??+=gANI
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
of ^in++++=of
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
1,304 ^cd++++=1,304
representative ^nn++++=representative
otus ^np++++=OTUs.
. ^zz++++=EXTRAWORD
