Multiple ^jj+atrb+++=Multiple
presence ^nn++++=presence
of ^in++++=of
measurement ^nn++++=measurement
invariance ^nn+++??+=invariance
( ^zz++++=(29).
29 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
models ^nns++++=models
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
sequentially ^rb+cnj+++=sequentially,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
with ^in++++=with
configural ^nn+++??+=configural
invariance ^nn+++??+=invariance
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equivalent ^jj+atrb+++=equivalent
factor ^nn++++=factor
structure ^nn++++=structure
across ^in+pl+++=across
groups ^nns++++=groups)
) ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
baseline ^nn+++??+=baseline,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
metric ^nn+++??+=metric
invariance ^nn+++??+=invariance
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equivalent ^jj+atrb+++=equivalent
factor ^nn++++=factor
loadings ^nns++++=loadings
and ^cc++++=and
structure ^nn++++=structure),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
invariance ^nn+++??+=invariance
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equivalent ^jj+atrb+++=equivalent
thresholds ^nns+++??+=thresholds,
, ^zz++++=EXTRAWORD
factor ^nn++++=factor
loadings ^nns++++=loadings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
structure ^nn++++=structure),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
strict ^jj+atrb+++=strict
invariance ^nn+++??+=invariance
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
equivalent ^jj+atrb+++=equivalent
residual ^jj+atrb+++=residual
item ^nn++++=item
variances ^nns++++=variances,
, ^zz++++=EXTRAWORD
thresholds ^nns+++??+=thresholds,
, ^zz++++=EXTRAWORD
factor ^nn++++=factor
loadings ^nns++++=loadings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
structure ^nn++++=structure).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Cfi ^np+++??+=CFI
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
between ^in++++=between
each ^dt++++=each
pair ^nn++++=pair
of ^in++++=of
models ^nns++++=models
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
the ^ati++++=the
more ^rbr++++=more
restricted ^jj+atrb++xvbn+=restricted
model ^nn++++=model
was ^vbd+bedz+vrb++=was
appropriate ^jj++++=appropriate
compared ^jj+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
less ^rbr++++=less
restricted ^jj+atrb++xvbn+=restricted
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Cfi ^np+++??+=CFI
was ^vbd+bedz+aux++=was
preferred ^vpsv++agls+xvbnx+=preferred
over ^in++++=over
chi ^np++++=chi-square
- ^zz++++=EXTRAWORD
square ^nn++++=EXTRAWORD
( ^zz++++=(
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
comparisons ^nns++++=comparisons
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
less ^rbr++++=less
sensitive ^jj+pred+++=sensitive
to ^in++++=to
large ^jj+atrb+++=large
sample ^nn++++=sample
sizes ^nns++++=sizes
( ^zz++++=(28,
28 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
29 ^cd++++=29).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
