To ^in++++=To
while ^cs+sub+++=while
Arena ^nn++++=Arena
3 ^zz++++=3
was ^vbd+bedz+aux++=was
illuminated ^vpsv++agls+xvbnx+=illuminated
with ^in++++=with
a ^at++++=a
Led ^jj+atrb++xvbn+=LED
infrared ^nn+++??+=infrared
lamp ^nn++++=lamp
( ^zz++++=(840
840 ^cd++++=EXTRAWORD
nm ^nn+++??+=nm,
, ^zz++++=EXTRAWORD
Cmvision ^np+++??+=Cmvision);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
camera ^nn++++=camera
s ^zz++++=s
infrared ^nn+++??+=infrared
sensitivity ^nn++++=sensitivity
enabled ^vbd+++xvbn+=enabled
observation ^nn++++=observation
and ^cc++++=and
recording ^nvbg+++xvbg+=recording
under ^in++++=under
these ^dt+dem+++=these
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
Video ^np+++??+=Video
recordings ^nns++++=recordings
were ^vbd+bed+vrb++=were
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
computer ^nn++++=computer
software ^nn+++??+=software
( ^zz++++=(version
version ^nn++++=EXTRAWORD
9.1.2.7 ^cd++++=9.1.2.7,
, ^zz++++=EXTRAWORD
Wondershare ^np+++??+=Wondershare
Filmora9 ^np+++??+=Filmora9)
) ^zz++++=EXTRAWORD
for ^in++++=for
playback ^nn++++=playback,
, ^zz++++=EXTRAWORD
tracking ^vbg+++xvbg+=tracking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
editing ^vbg+++xvbg+=editing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ethological ^nn+++??+=ethological
terminology ^nn++++=terminology
used ^md"++pmd"++=used
to ^to++++=to
describe ^vb++++=describe
triatomine ^nn+++??+=triatomine
behaviors ^nns+++??+=behaviors
was ^vbd+bedz+aux++=was
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
frameworks ^nns++++=frameworks
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
kogon ^np++++=Kogon
( ^zz++++=(1941)
1941 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
crist ^np++++=Crist
( ^zz++++=(1998).
1998 ^cd+date+++=EXTRAWORD
). ^nn++++=EXTRAWORD
