It ^pp3+it+++=It
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
more ^ql++++=more
data ^nns++++=data
than ^in++++=than
all ^abn++++=all
other ^ap++++=other
Peruvian ^np+++??+=Peruvian
institutions ^nns++++=institutions
combined ^vbd+++xvbn+=combined,
, ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=accounting
for ^in++++=for
over ^in++++=over
8,000 ^cd++++=8,000
records ^nns++++=records.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Bioproject ^np+++??+=BioProject
database ^nn+++??+=database,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
that ^dt+dem+++=that
30.05 ^cd++++=30.05%
% ^zz++++=EXTRAWORD
of ^in++++=of
records ^nns++++=records
( ^zz++++=(58
58 ^cd++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
193 ^cd++++=193)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
submitted ^vpsv++by+xvbnx+=submitted
by ^in++++=by
Peruvian ^np+++??+=Peruvian
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
approximately ^rb+down+splt++=approximately
double ^vb++++=double
the ^ati++++=the
proportion ^nn++++=proportion
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
Norena ^np+++??+=Norena
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(15.95%).
15.95% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
Patric ^np+++??+=PATRIC,
, ^zz++++=EXTRAWORD
Norena ^np+++??+=Norena
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
found ^vb+++xvbn+=found
that ^tht+vcmp+++=that
0.28 ^nn+++??+=0.28%
% ^zz++++=EXTRAWORD
of ^in++++=of
records ^nns++++=records
were ^vbd+bed+aux++=were
submitted ^vpsv++by+xvbnx+=submitted
by ^in++++=by
Peruvian ^np+++??+=Peruvian
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
our ^pp$+pp1+++=our
analysis ^nn++++=analysis
identified ^vwbn+++xvbn+=identified
3.62 ^cd++++=3.62%
% ^zz++++=EXTRAWORD
( ^zz++++=(107
107 ^cd++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
2,959 ^cd++++=2,959
records ^nns++++=records).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
in ^in++++=in
Bold ^jj++++=BOLD,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recorded ^vbd+vpub++xvbn+=recorded
3,754 ^cd++++=3,754
entries ^nns++++=entries
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
3,438 ^cd++++=3,438
reported ^vpsv++by+xvbn+=reported
by ^in++++=by
Norena ^np+++??+=Norena
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
smaller ^jjr+atrb+++=smaller
increase ^nn++++=increase
in ^in++++=in
this ^dt+dem+++=this
database ^nn++++=database
relative ^jj++++=relative
to ^to++++=to
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
