Scholarly ^jj+atrb+++=Scholarly
most ^ap+emph+++=most
of ^in++++=of
its ^pp$+it+++=its
individual ^jj+atrb+++=individual
traits ^nns++++=traits.
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
exception ^nn++++=exception
was ^vbd+bedz+vrb++=was
the ^ati++++=the
trait ^nn++++=trait
of ^in++++=of
open ^jj+atrb+++=open
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
participants ^nns++++=participants
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
perceived ^vbd+vprv++xvbn+=perceived
as ^ql++++=as
detrimental ^jj++++=detrimental,
, ^zz++++=EXTRAWORD
with ^in++++=with
this ^dt+dem+++=this
negative ^jj+atrb+++=negative
perception ^nn++++=perception
being ^vwbg+beg++xvbg+=being
even ^rb++++=even
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
than ^in++++=than
in ^in++++=in
the ^ati++++=the
earlier ^jjr+atrb+++=earlier
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
demonstrated ^vbd+vprv++xvbn+=demonstrated
less ^rbr++++=less
opposition ^nn++++=opposition
to ^to++++=to
open ^vbi++++=open
identities ^nns+++??+=identities
when ^wrb+who+++=when
responding ^vbg+++xvbg+=responding
to ^in++++=to
statements ^nns++++=statements
regarding ^in++++=regarding
its ^pp$+it+++=its
specific ^jj+atrb+++=specific
consequences ^nns++++=consequences.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
adoption ^nn++++=adoption
of ^in++++=of
preprints ^nns+++??+=preprints,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
not ^xnot++not++=not
compatible ^jj++++=compatible
with ^in++++=with
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
review ^nn++++=review,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
research ^nn++++=research
is ^vbz+bez+aux++=is
warranted ^vpsv++agls+xvbnx+=warranted
to ^to++++=to
investigate ^vbi++++=investigate
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
transitioning ^nn+++??+=transitioning
from ^in++++=from
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj++++=EXTRAWORD
to ^to++++=to
open ^vbi++++=open
identities ^nns+++??+=identities,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
gender ^nn++++=gender
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
interim ^jjb++++=interim,
, ^zz++++=EXTRAWORD
journals ^nns++++=journals
currently ^rb++++=currently
utilizing ^nn+++??+=utilizing
double ^jj++++=double-blind
- ^zz++++=EXTRAWORD
blind ^jj+atrb+++=EXTRAWORD
review ^nn++++=review
may ^md+pos+++=may
consider ^vb+vprv+++=consider
initially ^rb+tm+++=initially
adopting ^vbg+++xvbg+=adopting
other ^ap++++=other
aspects ^nns++++=aspects
of ^in++++=of
open ^jj+atrb+++=open
peer ^nn++++=peer
review ^nn++++=review
or ^cc++++=or
offering ^vbg+++xvbg+=offering
open ^jj+atrb+++=open
identities ^nns++++=identities
as ^ql++++=as
an ^at++++=an
optional ^nn++++=optional
feature ^nn++++=feature.
. ^zz++++=EXTRAWORD
