Since ^in++++=Since
, ^zz++++=EXTRAWORD
a ^at++++=a
trend ^nn++++=trend
likely ^jj++++=likely
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
the ^ati++++=the
journal ^nn++++=journal
s ^zz++++=s
relatively ^rb++++=relatively
high ^jj+atrb+++=high
Journal ^nn++++=Journal
Impact ^nn++++=Impact
Factor ^nn++++=Factor
( ^zz++++=(JIF).
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
zoologists ^nns+++??+=zoologists
who ^whp+rel+subj++=who
do ^vb+do+vrb++=do
not ^xnot++not++=not
primarily ^rb+down+++=primarily
focus ^vb++++=focus
on ^in++++=on
taxonomy ^nn+++??+=taxonomy
but ^cc++++=but
occasionally ^rb++++=occasionally
publish ^vb++++=publish
taxonomic ^nn+++??+=taxonomic
work ^nn++++=work
often ^rb++++=often
choose ^vb++++=choose
Zootaxa ^np+++??+=Zootaxa,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
as ^ql++++=as
their ^pp$+pp3+++=their
sole ^jjb+atrb+++=sole
outlet ^nn++++=outlet.
. ^zz++++=EXTRAWORD
The ^ati++++=The
journal ^nn++++=journal
s ^zz++++=s
influence ^nn++++=influence
is ^vbz+bez+vrb++=is
further ^jjb++++=further
reflected ^jj+++xvbn+=reflected
in ^in++++=in
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
Zootaxa ^np+++??+=Zootaxa
author ^nn++++=author,
, ^zz++++=EXTRAWORD
referring ^vbg+++xvbg+=referring
to ^in++++=to
researchers ^nns+++??+=researchers
who ^whp+rel+subj++=who
publish ^vb++++=publish
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
their ^pp$+pp3+++=their
work ^nn++++=work
in ^in++++=in
this ^dt+dem+++=this
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
exceeding ^vbg+++xvbg+=exceeding
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
total ^jj+atrb+++=total
output ^nn++++=output.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
concentration ^nn++++=concentration
of ^in++++=of
publications ^nns++++=publications
raises ^vbz++++=raises
questions ^nns++++=questions
regarding ^in++++=regarding
the ^ati++++=the
factors ^nns++++=factors
driving ^vwbg+++xvbg+=driving
this ^dt+dem+++=this
phenomenon ^nn++++=phenomenon
and ^cc++++=and
its ^pp$+it+++=its
implications ^nns++++=implications
for ^in++++=for
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
taxonomy ^nn++++=taxonomy.
. ^zz++++=EXTRAWORD
