Eleven ^cd++++=Eleven
was ^vbd+bedz+vrb++=was
positive ^jj+pred+++=positive
for ^in++++=for
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
nucleic ^nn+++??+=nucleic
acid ^jj++++=acid.
. ^zz++++=EXTRAWORD
Transthoracic ^np+++??+=Transthoracic
echocardiography ^vb+++??+=echocardiography
revealed ^vbd+vprv++xvbn+=revealed
normal ^jj+atrb+++=normal
cardiac ^jj+atrb+++=cardiac
function ^nn++++=function.
. ^zz++++=EXTRAWORD
Due ^jj++++=Due
to ^in+jcmp+++=to
persistent ^jj++++=persistent
right ^jj++++=right-sided
- ^zz++++=EXTRAWORD
sided ^nn+++??+=EXTRAWORD
back ^jjb+atrb+++=back
pain ^nn++++=pain
on ^in++++=on
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
of ^in++++=of
rehospitalization ^nn+++??+=rehospitalization,
, ^zz++++=EXTRAWORD
Ct ^np+++??+=CT
pulmonary ^nn+++??+=pulmonary
angiography ^nn+++??+=angiography
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed,
, ^zz++++=EXTRAWORD
revealing ^xvbg+++xvbg+=revealing
filling ^vbg+++xvbg+=filling
defects ^nns++++=defects
in ^in++++=in
subsegmental ^nn+++??+=subsegmental
arterial ^jj+atrb+++=arterial
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
posterior ^jj+atrb+++=posterior
basal ^jj+atrb+++=basal
segment ^nn++++=segment
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
lower ^jjr+atrb+++=lower
lobe ^nn+++??+=lobe,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
acute ^jj+atrb+++=acute
Pe ^np+++??+=PE
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1c ^cd++++=1C
and ^cc++++=and
1d ^cd++++=1D).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
peripheral ^jj+atrb+++=peripheral
lung ^nn++++=lung
opacity ^nn+++??+=opacity
with ^in++++=with
a ^at++++=a
reversed ^jj+atrb++xvbn+=reversed
halo ^nn++++=halo
sign ^nn++++=sign
and ^cc++++=and
central ^jj+atrb+++=central
lucencies ^nns+++??+=lucencies,
, ^zz++++=EXTRAWORD
indicative ^jj++++=indicative
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
infarction ^nn++++=infarction,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1e ^cd++++=1E).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dual ^jj++++=Dual-energy
- ^zz++++=EXTRAWORD
energy ^nn++++=EXTRAWORD
Ct ^np+++??+=CT
color ^nn+++??+=color-coded
- ^zz++++=EXTRAWORD
coded ^vbd+++xvbn+=EXTRAWORD
iodine ^nn+++??+=iodine
perfusion ^nn+++??+=perfusion
mapping ^nn++++=mapping
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
focal ^jj+atrb+++=focal
iodine ^nn+++??+=iodine
defect ^nn++++=defect
in ^in++++=in
the ^ati++++=the
posterior ^jj+atrb+++=posterior
basal ^jj+atrb+++=basal
segment ^nn++++=segment
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
lower ^jjr+atrb+++=lower
lobe ^nn+++??+=lobe
corresponding ^vwbg+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
infarction ^nn++++=infarction
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1f ^cd++++=1F).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Lupus ^np+++??+=Lupus
anticoagulant ^nn++++=anticoagulant
testing ^vwbg+++xvbg+=testing
was ^vbd+bedz+vrb++=was
positive ^jj+pred+++=positive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated
with ^in++++=with
full ^jj++++=full-dose
- ^zz++++=EXTRAWORD
dose ^nn++++=EXTRAWORD
subcutaneous ^nns+++??+=subcutaneous
enoxaparin ^nn+++??+=enoxaparin
and ^cc++++=and
antibiotics ^nns++++=antibiotics
( ^zz++++=(azithromycin
azithromycin ^nn+++??+=EXTRAWORD
and ^cc++++=and
piperacillin ^nn+++??+=piperacillin/tazobactam).
He ^pp3a+pp3+++=He
exhibited ^vbd+++xvbnx+=exhibited
clinical ^jj++++=clinical
and ^cc++++=and
laboratory ^nn++++=laboratory
improvement ^nn++++=improvement
and ^cc++++=and
was ^vbd+bedz+aux++=was
discharged ^vpsv++agls+xvbnx+=discharged
in ^in++++=in
good ^jj+atrb+++=good
general ^jj+atrb+++=general
condition ^nn++++=condition
after ^in++++=after
four ^cd++++=four
days ^nns++++=days
of ^in++++=of
full ^jj+atrb+++=full
anticoagulation ^nn+++??+=anticoagulation,
, ^zz++++=EXTRAWORD
with ^in++++=with
rivaroxaban ^nn++++=rivaroxaban
prescribed ^vwbn+++xvbn+=prescribed
for ^in++++=for
continued ^jj+atrb+++=continued
outpatient ^nn++++=outpatient
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
