Non ^&fw++++=Non-enhanced
cardiac ^jj+atrb+++=cardiac
chamber ^nn++++=chamber
may ^md+pos+++=may
suggest ^vb+vpub+tht0++=suggest
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
( ^zz++++=(PE).
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
our ^pp$+pp1+++=our
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
assist ^vb++++=assist
in ^in++++=in
determining ^xvbg+++xvbg+=determining
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
Ct ^np+++??+=CT
pulmonary ^nn+++??+=pulmonary
angiography ^nn+++??+=angiography
( ^zz++++=(CTPA)
ctpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
confirm ^vbi+vpub+++=confirm
or ^cc+phrs+++=or
exclude ^vb++++=exclude
Pe ^np+++??+=PE.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
parameters ^nns++++=parameters
such ^abl++++=such
as ^cs+sub+++=as
elevated ^jj+atrb++xvbn+=elevated
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
hemoptysis ^nns+++??+=hemoptysis,
, ^zz++++=EXTRAWORD
sudden ^jj+atrb+++=sudden
deterioration ^nn++++=deterioration
in ^in++++=in
respiratory ^jj+atrb+++=respiratory
function ^nn++++=function,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
chest ^nn++++=chest
pain ^nn++++=pain
should ^md+nec+++=should
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
into ^in++++=into
account ^nn++++=account.
. ^zz++++=EXTRAWORD
Signs ^nns++++=Signs
of ^in++++=of
right ^jj+atrb+++=right
heart ^nn++++=heart
strain ^nn++++=strain
on ^in++++=on
electrocardiogram ^nn+++??+=electrocardiogram
or ^cc++++=or
echocardiogram ^nn+++??+=echocardiogram
may ^md+pos+++=may
also ^rb++++=also
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
at ^rb++splt++=at
risk ^vb++++=risk
for ^in++++=for
concurrent ^jj+atrb+++=concurrent
Pe ^np+++??+=PE.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
potential ^jj+atrb+++=potential
contraindications ^nns+++??+=contraindications
to ^in++++=to
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
intravenous ^jj+atrb+++=intravenous
iodinated ^nn+++??+=iodinated
contrast ^nn++++=contrast
media ^nns++++=media,
, ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
history ^nn++++=history
of ^in++++=of
allergy ^nn+++??+=allergy
to ^to++++=to
contrast ^vbi++++=contrast
agents ^nns++++=agents
and ^cc++++=and
renal ^jj+atrb+++=renal
dysfunction ^nn+++??+=dysfunction,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
carefully ^rb++splt++=carefully
considered ^vpsv++agls+xvbn+=considered
when ^wrb+who+whcl++=when
deciding ^jj++++=deciding
whether ^cs+who+++=whether
to ^to++++=to
perform ^vb++++=perform
ctpa ^np++++=CTPA.
. ^zz++++=EXTRAWORD
