All ^abn++++=All
vitamin ^nn++++=vitamin
D ^zz++++=D
deficiency ^nn++++=deficiency
in ^in++++=in
pediatric ^nn+++??+=pediatric
patients ^nns++++=patients
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
odds ^nns++++=odds
of ^in++++=of
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
( ^zz++++=(ICU)
icu ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
admission ^nn++++=admission
( ^zz++++=(OR:
or ^cc++++=EXTRAWORD
: ^zz++++=EXTRAWORD
3.29 ^cd++++=3.29;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
1.20 ^cd++++=1.20
9.02 ^cd++++=9.02;
; ^zz++++=EXTRAWORD
p<0.05 ^nn+++??+=p<0.05)
) ^zz++++=EXTRAWORD
and ^cc++++=and
mechanical ^jj+atrb+++=mechanical
ventilation ^nn++++=ventilation
( ^zz++++=(OR:
or ^cc++++=EXTRAWORD
: ^zz++++=EXTRAWORD
11.2 ^cd++++=11.2;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
2.27 ^cd++++=2.27
55.25 ^cd++++=55.25;
; ^zz++++=EXTRAWORD
p<0.001 ^nn+++??+=p<0.001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
studies ^nns++++=studies
involving ^vwbg+++xvbg+=involving
hospitalized ^nn+++??+=hospitalized
adults ^nns++++=adults
and ^cc++++=and
older ^jjr+atrb+++=older
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
vitamin ^nn++++=vitamin
D ^zz++++=D
deficiency ^nn++++=deficiency
was ^vbd+bedz+vrb++=was
between ^in++++=between
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
and ^cc++++=and
85 ^cd++++=85%
% ^zz++++=EXTRAWORD
[ ^zz++++=[18,22].
18,22 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brance ^np+++??+=Brance
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[18]
18 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
identify ^vb++++=identify
any ^dti++++=any
association ^nn++++=association
between ^in++++=between
vitamin ^nn++++=vitamin
D ^zz++++=D
status ^nn++++=status
and ^cc++++=and
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
respiratory ^jj+atrb+++=respiratory
infection ^nn++++=infection
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
Kim ^np++++=Kim
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[22]
22 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
found ^vprf++tht0+xvbn+=found
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
after ^in++++=after
statistical ^jj+atrb+++=statistical
adjustment ^nn++++=adjustment,
, ^zz++++=EXTRAWORD
25 ^cd++++=25-hydroxyvitamin
- ^zz++++=EXTRAWORD
hydroxyvitamin ^nn+++??+=EXTRAWORD
D ^zz++++=D
( ^zz++++=(25(OH)D)
25(oh)d ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
deficiency ^nn++++=deficiency
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
28 ^cd++++=28-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
mortality ^nn++++=mortality
( ^zz++++=(OR:
or ^cc++++=EXTRAWORD
: ^zz++++=EXTRAWORD
3.31 ^cd++++=3.31;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
1.17 ^cd++++=1.17
9.39 ^cd++++=9.39;
; ^zz++++=EXTRAWORD
p<0.05 ^nn++++=p<0.05)
) ^zz++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
chart ^nn++++=Chart
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
