Table ^nn++++=Table
( ^zz++++=(38.5%).
38.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
adjusted ^jj+++xvbn+=adjusted
for ^in++++=for
population ^nn++++=population
size ^nn++++=size,
, ^zz++++=EXTRAWORD
incidence ^nn++++=incidence
rates ^nns++++=rates
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
0.70 ^nn+++??+=0.70
cases ^nns++++=cases
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants
in ^in++++=in
Serra ^np+++??+=Serra
Catarinense ^np+++??+=Catarinense
to ^to++++=to
13.99 ^cd++++=13.99
cases ^nns++++=cases
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants
in ^in++++=in
the ^ati++++=the
Northeast ^np+++??+=Northeast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Far ^rb+pl+++=Far
West ^np+pl+++=West
region ^nn++++=region
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
second ^od++++=second
highest ^jjt+atrb+++=highest
incidence ^nn++++=incidence
rate ^nn++++=rate
( ^zz++++=(11.18
11.18 ^cd++++=EXTRAWORD
cases ^nns++++=cases
per ^in++++=per
100,000 ^cd++++=100,000
inhabitants ^nns++++=inhabitants),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
together ^rb++++=together
with ^in++++=with
the ^ati++++=the
four ^cd++++=four
aforementioned ^nn+++??+=aforementioned
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
accounted ^j+++xvbn+=accounted
for ^in++++=for
the ^ati++++=the
highest ^jjt+atrb+++=highest
incidence ^nn++++=incidence
rates ^nns++++=rates
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
five ^cd++++=five
regions ^nns++++=regions
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
significantly ^rb++++=significantly
increased ^vbd+++xvbn+=increased
risk ^vb++++=risk
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
( ^zz++++=(relative
relative ^jj+atrb+++=EXTRAWORD
risk ^nn++++=risk
[ ^zz++++=[RR]
rr ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
> ^zz++++=>
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
Rr ^np+++??+=RR
values ^nns++++=values
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
10.9 ^cd++++=10.9
to ^to++++=to
19.9 ^cd+date+++=19.9
compared ^xvbn+++xvbn+=compared
to ^in++++=to
Serra ^np+++??+=Serra
Catarinense ^np+++??+=Catarinense,
, ^zz++++=EXTRAWORD
the ^ati++++=the
region ^nn++++=region
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
incidence ^nn++++=incidence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
rainfall ^nn++++=rainfall
index ^nn++++=index
for ^in++++=for
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
was ^vbd+bedz+vrb++=was
158.69 ^cd++++=158.69
mm ^nnu++++=mm,
, ^zz++++=EXTRAWORD
with ^in++++=with
values ^nns++++=values
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
136.44 ^cd++++=136.44
mm ^nnu++++=mm
in ^in++++=in
Laguna ^np+++??+=Laguna
to ^to++++=to
186.81 ^cd++++=186.81
mm ^nnu++++=mm
in ^in++++=in
the ^ati++++=the
Northeast ^np+++??+=Northeast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
five ^cd++++=five
regions ^nns++++=regions
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
leptospirosis ^nns+++??+=leptospirosis
incidence ^nn++++=incidence
contributed ^vbd+++xvbn+=contributed
32.8 ^cd++++=32.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total
accumulated ^vbd+++xvbn+=accumulated
rainfall ^nn++++=rainfall
during ^in++++=during
the ^ati++++=the
study ^nn++++=study
period ^nn++++=period,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
of ^in++++=of
these ^dt+dem+++=these
regions ^nns++++=regions,
, ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
West ^np+pl+++=West
and ^cc++++=and
Northeast ^np+++??+=Northeast,
, ^zz++++=EXTRAWORD
exhibited ^j+++xvbn+=exhibited
both ^abx++++=both
the ^ati++++=the
highest ^jjt+atrb+++=highest
leptospirosis ^nns++++=leptospirosis
incidence ^nn++++=incidence
and ^cc++++=and
average ^jj+atrb+++=average
rainfall ^nn++++=rainfall
indices ^nns++++=indices.
. ^zz++++=EXTRAWORD
