Only ^rb+down+++=Only
observe ^vb+vprv+++=observe
Belminus ^np+++??+=Belminus
species ^nn++++=species
in ^in++++=in
their ^pp$+pp3+++=their
natural ^jj+atrb+++=natural
habitats ^nns++++=habitats,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
this ^dt+pdem+++=this
presents ^vbz++++=presents
considerable ^jj+atrb+++=considerable
logistical ^nn++++=logistical
challenges ^vbz++++=challenges.
. ^zz++++=EXTRAWORD
