Once ^rb+tm+++=Once
N ^zz++++=N
protein ^nn++++=protein
and ^cc++++=and
the ^ati++++=the
viral ^nn+++??+=viral
genomic ^nn+++??+=genomic
Rna ^np+++??+=RNA,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
the ^ati++++=the
nucleocapsid ^nn+++??+=nucleocapsid
in ^in++++=in
the ^ati++++=the
cytosol ^nn+++??+=cytosol
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
process ^nn++++=process
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
S ^zz++++=S,
, ^zz++++=EXTRAWORD
E ^zz++++=E,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
M ^zz++++=M
proteins ^nns+++??+=proteins
are ^vb+ber+vrb++=are
targeted ^nn+++??+=targeted
to ^in++++=to
the ^ati++++=the
rough ^jj+atrb+++=rough
endoplasmic ^nn+++??+=endoplasmic
reticulum ^nn+++??+=reticulum
( ^zz++++=(RER)
rer ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Fehr
fehr ^nn+++??+=EXTRAWORD
and ^cc++++=and
Perlman ^np+++??+=Perlman
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Subsequent ^jj+atrb+++=Subsequent
interactions ^nns++++=interactions
among ^in++++=among
these ^dt+dem+++=these
structural ^jj+atrb+++=structural
proteins ^nns+++??+=proteins
facilitate ^vb++++=facilitate
the ^ati++++=the
recruitment ^nn++++=recruitment
of ^in++++=of
nucleocapsids ^nns+++??+=nucleocapsids
into ^in++++=into
the ^ati++++=the
endoplasmic ^nn+++??+=endoplasmic
reticulum ^nn+++??+=reticulum-Golgi
- ^zz++++=EXTRAWORD
golgi ^nn+++??+=EXTRAWORD
intermediate ^jj+atrb+++=intermediate
compartment ^nn++++=compartment
( ^zz++++=(ERGIC),
ergic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
between ^in++++=between
the ^ati++++=the
Rer ^np+++??+=RER
and ^cc++++=and
the ^ati++++=the
Golgi ^np+++??+=Golgi
apparatus ^nn++++=apparatus,
, ^zz++++=EXTRAWORD
ultimately ^rb++++=ultimately
resulting ^jj+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
exocytosis ^nns+++??+=exocytosis
of ^in++++=of
mature ^jj+atrb+++=mature
viral ^nn+++??+=viral
particles ^nns++++=particles
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
processes ^nns++++=processes
5 ^zz++++=5
and ^cc++++=and
6 ^zz++++=6)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fehr
fehr ^nn+++??+=EXTRAWORD
and ^cc++++=and
Perlman ^np+++??+=Perlman
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
notable ^jj+atrb+++=notable
characteristic ^nn++++=characteristic
of ^in++++=of
coronavirus ^nns+++??+=coronavirus
replication ^nn+++??+=replication
is ^vbz+bez+vrb++=is
the ^ati++++=the
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
mutation ^nn+++??+=mutation
and ^cc++++=and
recombination ^nn+++??+=recombination
events ^nns++++=events,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
alter ^vb++++=alter
viral ^jj+atrb++??+=viral
protein ^nn++++=protein
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
host ^nn++++=host
range ^nn++++=range,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pathogenicity ^nn+++??+=pathogenicity.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
heterologous ^nns+++??+=heterologous
recombination ^nn+++??+=recombination
between ^in++++=between
subgroup ^nn++++=subgroup
A ^at++++=A
Betacoronaviruses ^np+++??+=Betacoronaviruses
and ^cc++++=and
other ^ap++++=other
viruses ^nns++++=viruses
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
documented ^vpsv++agls+xvbnx+=documented,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
the ^ati++++=the
hemagglutinin ^nn+++??+=hemagglutinin
esterase ^nn+++??+=esterase
gene ^np++++=gene
in ^in++++=in
some ^dti++++=some
coronaviruses ^nns+++??+=coronaviruses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
influenza ^nn++++=influenza
C ^zz++++=C
virus ^nn++++=virus
( ^zz++++=(Zeng
zeng ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recombination ^np+++??+=Recombination
events ^nns++++=events
between ^in++++=between
coronaviruses ^nns+++??+=coronaviruses
infecting ^nn+++??+=infecting
different ^jj+atrb+++=different
species ^nn++++=species
are ^vb+ber+aux++=are
also ^rb++splt++=also
widely ^rb++++=widely
reported ^vbd+vpub++xvbn+=reported
and ^cc++++=and
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
genomic ^nn+++??+=genomic
similarities ^nns++++=similarities
between ^in++++=between
human ^jj+atrb+++=human
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
and ^cc++++=and
coronaviruses ^nns+++??+=coronaviruses
from ^in++++=from
bats ^nns++++=bats
and ^cc++++=and
pangolins ^nns+++??+=pangolins
( ^zz++++=(Lu
lu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Lau ^np+++??+=Lau
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
factors ^nns++++=factors
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
this ^dt+dem+++=this
increased ^jj+atrb+++=increased
capacity ^nn++++=capacity
for ^in++++=for
recombination ^nn++++=recombination
and ^cc++++=and
mutation ^nn++++=mutation:
: ^zz++++=EXTRAWORD
