Immunosuppressive ^np+++??+=Immunosuppressive
, ^zz++++=EXTRAWORD
Nct04350671 ^np+++??+=NCT04350671).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
medications ^nns+++??+=medications
commonly ^rb++++=commonly
used ^md"++pmd"++=used
to ^to++++=to
treat ^vb++++=treat
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD),
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
tocilizumab ^nn+++??+=tocilizumab
( ^zz++++=(NCT04317092),
nct04317092 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
eculizumab ^nn+++??+=eculizumab
( ^zz++++=(NCT04288713),
nct04288713 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intravenous ^jj+atrb+++=intravenous
methylprednisolone ^nn+++??+=methylprednisolone
( ^zz++++=(ChiCTR2000029386),
chictr2000029386 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
evaluated ^vpsv++agls+xvbn+=evaluated
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
confirmed ^vbn+vpub++xvbn+=confirmed
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
who ^whp+rel+obj++=who
present ^nn++++=present
with ^in++++=with
severe ^jj+atrb+++=severe
pneumonia ^nn++++=pneumonia
and ^cc++++=and
severe ^jj+atrb+++=severe
acute ^jj+atrb+++=acute
respiratory ^jj+atrb+++=respiratory
syndrome ^nn++++=syndrome
( ^zz++++=(SARS).
sars ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
potential ^jj+atrb+++=potential
protective ^jj+atrb+++=protective
effects ^nns++++=effects
of ^in++++=of
Ms ^nn++++=MS
and ^cc++++=and
Nmosd ^np+++??+=NMOSD
Dmds ^np+++??+=DMDs
against ^in++++=against
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
established ^vpsv++agls+xvbnx+=established.
. ^zz++++=EXTRAWORD
Pending ^in++++=Pending
further ^jjb+atrb+++=further
evidence ^nn++++=evidence,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
discontinue ^vbi++++=discontinue
Dmds ^np+++??+=DMDs
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
severe ^jj+atrb+++=severe
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
For ^in++++=For
moderate ^jj+atrb+++=moderate
and ^cc+phrs+++=and
mild ^jj+atrb+++=mild
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
decisions ^nns++++=decisions
regarding ^in++++=regarding
Dmd ^np+++??+=DMD
discontinuation ^nn+++??+=discontinuation
should ^md+nec+++=should
be ^vb+be+vrb++=be
individualized ^jj+++??+=individualized
based ^jj+++xvbn+=based
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
drug ^nn++++=drug
safety ^nn++++=safety
profiles ^nns++++=profiles,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
comorbidities ^nns+++??+=comorbidities.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
any ^dti++++=any
medication ^nn++++=medication
that ^tht+rel+obj++=that
may ^md+pos+++=may
interfere ^vb++++=interfere
with ^in++++=with
the ^ati++++=the
immune ^jj+atrb+++=immune
response ^nn++++=response
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbn+=regarded
as ^ql++++=as
completely ^rb+amp+++=completely
safe ^jj++++=safe
in ^in++++=in
symptomatic ^jj+atrb+++=symptomatic
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
