When ^wrb+who+++=When
visualization ^nn+++??+=visualization,
, ^zz++++=EXTRAWORD
antennal ^nn+++??+=antennal
exploration ^nn++++=exploration,
, ^zz++++=EXTRAWORD
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
proboscis ^nns+++??+=proboscis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ingestion ^nn+++??+=ingestion
of ^in++++=of
liquid ^nn++++=liquid.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
building ^nvbg+++xvbg+=building
on ^in++++=on
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
P ^zz++++=P
ez ^nn+++??+=ez-Rond
- ^zz++++=EXTRAWORD
rond ^nn+++??+=EXTRAWORD
n ^zz++++=n
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
describe ^vb++++=describe
the ^ati++++=the
Fap ^np+++??+=FAP
utilized ^vwbn+++xvbn+=utilized
by ^in++++=by
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
to ^to++++=to
identify ^vbi++++=identify,
, ^zz++++=EXTRAWORD
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
feed ^nn++++=feed
on ^in++++=on
a ^at++++=a
living ^jj+atrb++xvbg+=living
cockroach ^nn++++=cockroach.
. ^zz++++=EXTRAWORD
The ^ati++++=The
concept ^nn++++=concept
of ^in++++=of
" ^zz++++="orientation"
orientation ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
used ^nn++++=used
by ^in++++=by
these ^dt+dem+++=these
authors ^nns++++=authors
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
by ^in++++=by
Roeder ^np+++??+=Roeder
( ^zz++++=(1998),
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
occupies ^vbz++++=occupies
an ^at++++=an
intermediate ^jj+atrb+++=intermediate
position ^nn++++=position
between ^in++++=between
behaviorist ^nn+++??+=behaviorist
and ^cc++++=and
ethological ^nn+++??+=ethological
frameworks ^nns++++=frameworks.
. ^zz++++=EXTRAWORD
In ^in++++=In
light ^nn++++=light
of ^in++++=of
Crist ^np+++??+=Crist
s ^zz++++=s
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
critique ^nn++++=critique
of ^in++++=of
the ^ati++++=the
semantic ^jj+atrb+++=semantic
conventions ^nns++++=conventions
of ^in++++=of
early ^jj+atrb+++=early
ethologists ^nns+++??+=ethologists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considering ^vbg+++xvbg+=considering
stylistic ^jj+atrb+++=stylistic
elements ^nns++++=elements
employed ^vwbn+++xvbn+=employed
by ^in++++=by
early ^jj+atrb+++=early
animal ^nn++++=animal
behavior ^nn++++=behavior
researchers ^nns+++??+=researchers
( ^zz++++=(Darwin
darwin ^np++++=EXTRAWORD
and ^cc++++=and
Wallace ^np++++=Wallace
1858 ^cd+date+++=1858;
; ^zz++++=EXTRAWORD
Darwin ^np++++=Darwin
1983 ^cd+date+++=1983;
; ^zz++++=EXTRAWORD
Humboldt ^np+++??+=Humboldt
1991 ^cd+date+++=1991),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sought ^vbd+++xvbn+=sought
to ^to++++=to
identify ^vbi++++=identify
distinctive ^jj+atrb+++=distinctive
innate ^jj+atrb+++=innate
traits ^nns++++=traits
that ^tht+rel+subj++=that
could ^md+pos+++=could
inform ^vb++++=inform
the ^ati++++=the
phylogenetic ^jj++++=phylogenetic
placement ^&fw++++=placement
of ^in++++=of
Belminus ^np+++??+=Belminus
species ^nn++++=species.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
ethological ^nn+++??+=ethological
question ^nn++++=question
addressed ^vbd+++xvbn+=addressed
was ^vbd+bedz+vrb++=was
how ^wrb+who+++=how
Belminus ^np+++??+=Belminus
species ^nns++++=species
approach ^nn++++=approach
their ^pp$+pp3+++=their
prey ^nn++++=prey
in ^in++++=in
comparison ^nn++++=comparison
to ^in++++=to
ancestral ^jj+atrb+++=ancestral
assassin ^nn++++=assassin
bugs ^nns+++??+=bugs.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
on ^in++++=on
triatomine ^nn+++??+=triatomine
orientation ^nn++++=orientation
behavior ^nn++++=behavior
has ^vbz+hvz+aux++=has
primarily ^rb+down+splt++=primarily
focused ^vprf+++xvbnx+=focused
on ^in++++=on
host ^nn++++=host-derived
- ^zz++++=EXTRAWORD
derived ^xvbn+++xvbn+=EXTRAWORD
odors ^nns+++??+=odors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
from ^in++++=from
skin ^nn++++=skin
and ^cc++++=and
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
metabolic ^nn+++??+=metabolic
by ^in++++=by-products
- ^zz++++=EXTRAWORD
products ^nns++++=EXTRAWORD
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
host ^nn++++=host
s ^zz++++=s
microflora ^nn+++??+=microflora
and ^cc++++=and
vertebrate ^jj+atrb++??+=vertebrate
metabolism ^nn++++=metabolism
( ^zz++++=(Ot
ot ^nn+++??+=EXTRAWORD
lora ^nn+++??+=lora-Luna
- ^zz++++=EXTRAWORD
luna ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Guerenstein ^np+++??+=Guerenstein
and ^cc++++=and
Lazzari ^np+++??+=Lazzari
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Aldana ^np+++??+=Aldana
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
ortiz ^np++++=Ortiz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
