Vitamin ^nn++++=Vitamin
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
days ^nns++++=days
with ^in++++=with
cough ^nn++++=cough
and ^cc++++=and
fever ^nn++++=fever
( ^zz++++=(p<0.001)
p<0.001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
doctor ^nn++++=doctor
visits ^nns++++=visits
( ^zz++++=(p<0.05)
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[19].
19 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Amaral ^np+++??+=Amaral
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[20]
20 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
also ^rb++++=also
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
patients ^nns++++=patients
with ^in++++=with
infections ^nns++++=infections
without ^in++++=without
wheezing ^xvbg+++xvbg+=wheezing
and ^cc++++=and
with ^in++++=with
vitamin ^nn++++=vitamin
A ^at++++=A
deficiency ^nn++++=deficiency
exhibited ^vbd+++xvbn+=exhibited
persistent ^jj+atrb+++=persistent
respiratory ^jj+atrb+++=respiratory
resistance ^nn++++=resistance
despite ^in++++=despite
clinical ^jj+atrb+++=clinical
treatment ^nn++++=treatment
for ^in++++=for
infection ^nn++++=infection
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
chart ^nn++++=Chart
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
