Twenty ^cd++++=Twenty-four
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009).
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Subulispora ^np+++??+=Subulispora
longirostrata ^nn+++??+=longirostrata
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
colonizing ^nn+++??+=colonizing
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
cabussu ^nn+++??+=cabussu
Hoehne ^np+++??+=Hoehne
and ^cc++++=and
T ^zz++++=T.
. ^zz++++=EXTRAWORD
pulchra ^nn+++??+=pulchra
Cogn ^np+++??+=Cogn.
. ^zz++++=EXTRAWORD
in ^in++++=in
Paranapiacaba ^np+++??+=Paranapiacaba,
, ^zz++++=EXTRAWORD
Santo ^np++++=Santo
Andr ^np+++??+=Andr
, ^zz++++=,
Sp ^&fo++++=SP
( ^zz++++=(Gusm
gusm ^nn+++??+=EXTRAWORD
o ^zz++++=o
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Grandi ^np+++??+=Grandi
& ^zz++++=&
Gusm ^np+++??+=Gusm
o ^zz++++=o
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tetracladium ^np+++??+=Tetracladium
marchalianum ^nn+++??+=marchalianum
was ^vbd+bedz+aux++=was
recently ^rb+tm+splt++=recently
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
Brazil ^np++++=Brazil
by ^in++++=by
Schoenlein ^np+++??+=Schoenlein-Crusius
- ^zz++++=EXTRAWORD
crusius ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
submerged ^nn++++=submerged
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
Parque ^np+++??+=Parque
Municipal ^jj++++=Municipal
do ^vb+do+vrb++=do
Ibirapuera ^np+++??+=Ibirapuera,
, ^zz++++=EXTRAWORD
Sp ^&fo++++=SP.
. ^zz++++=EXTRAWORD
Tetraploa ^np+++??+=Tetraploa
aristata ^nn+++??+=aristata
was ^vbd+bedz+aux++=was
observed ^vpsv++by+xvbnx+=observed
by ^in++++=by
Gruppi ^np+++??+=Gruppi
( ^zz++++=(2008)
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
on ^in++++=on
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
samples ^nns++++=samples
collected ^vwbn+++xvbn+=collected
in ^in++++=in
Parque ^np+++??+=Parque
Central ^jj++++=Central,
, ^zz++++=EXTRAWORD
Santo ^np++++=Santo
Andr ^np+++??+=Andr
, ^zz++++=,
Sp ^&fo++++=SP,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
Barbosa ^np+++??+=Barbosa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
submerged ^jj+atrb++xvbn+=submerged
leaf ^nn++++=leaf
litter ^nn++++=litter
in ^in++++=in
Santa ^&fw++++=Santa
Terezinha ^np+++??+=Terezinha,
, ^zz++++=EXTRAWORD
Bahia ^np+++??+=Bahia,
 ^zz++++=EXTRAWORD
A ^at++++=a
Semi ^nn++++=semi-arid
 ^zz++++=EXTRAWORD
Arid ^jj+atrb+++=EXTRAWORD
Region ^nn++++=region
Of ^in++++=of
Brazil ^np++++=Brazil.
 ^zz++++=EXTRAWORD
