Forty ^cd++++=Forty-six
( ^zz++++=(Greville)
greville ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ralfs ^np+++??+=Ralfs,
, ^zz++++=EXTRAWORD
Pleurotaenium ^np+++??+=Pleurotaenium
ovatum ^nn+++??+=ovatum
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
truncatum ^nn+++??+=truncatum
( ^zz++++=(Br
br ^nn+++??+=EXTRAWORD
bisson ^nn+++??+=bisson)
) ^zz++++=EXTRAWORD
N ^zz++++=N
geli ^nn+++??+=geli,
, ^zz++++=EXTRAWORD
Staurastrum ^np+++??+=Staurastrum
cuspidatum ^nn+++??+=cuspidatum
Br ^np+++??+=Br
bisson ^nn+++??+=bisson,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
erlangense ^nn+++??+=erlangense
Reinsch ^np+++??+=Reinsch.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
Bicudo ^np+++??+=Bicudo
and ^cc++++=and
Bicudo ^np+++??+=Bicudo
( ^zz++++=(1965)
1965 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
expanded ^vbd+++xvbn+=expanded
this ^dt+dem+++=this
inventory ^nn++++=inventory
by ^in++++=by
identifying ^xvbg+++xvbg+=identifying
an ^at++++=an
additional ^jj++++=additional
23 ^cd++++=23
desmid ^nn+++??+=desmid
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
including ^in++++=including
16 ^cd++++=16
species ^nn++++=species,
, ^zz++++=EXTRAWORD
six ^cd++++=six
varieties ^nns++++=varieties
not ^xnot++not++=not
typical ^jj++++=typical
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
species ^nn++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
taxonomic ^nn+++??+=taxonomic
form ^nn++++=form
not ^xnot++not++=not
typical ^jj++++=typical
of ^in++++=of
its ^pp$+it+++=its
respective ^jj+atrb+++=respective
variety ^nn++++=variety.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newly ^rb++++=newly
identified ^vbd+++xvbn+=identified
taxa ^nn+++??+=taxa,
, ^zz++++=EXTRAWORD
each ^dt++++=each
described ^jj+++xvbn+=described
and ^cc+phrs+++=and
illustrated ^jj+atrb++xvbn+=illustrated,
, ^zz++++=EXTRAWORD
included ^j+++xvbn+=included
Closterium ^np+++??+=Closterium
gracile ^nn+++??+=gracile
Br ^np+++??+=Br
bisson ^nn+++??+=bisson,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
laterale ^nn+++??+=laterale
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
C ^zz++++=C.
. ^zz++++=EXTRAWORD
turgidum ^nn+++??+=turgidum
Ehrenberg ^np+++??+=Ehrenberg
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
giganteum ^nn+++??+=giganteum
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
Cosmarium ^np+++??+=Cosmarium
ocellatum ^nn+++??+=ocellatum
Eichler ^np+++??+=Eichler
& ^zz++++=&
Gutwinski ^np+++??+=Gutwinski,
, ^zz++++=EXTRAWORD
Desmidium ^np+++??+=Desmidium
baileyi ^nn+++??+=baileyi
( ^zz++++=(Ralfs)
ralfs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Nordstedt ^np+++??+=Nordstedt
f ^zz++++=f.
. ^zz++++=EXTRAWORD
tetragonum ^nn+++??+=tetragonum
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
swartzii ^nn+++??+=swartzii
C ^zz++++=C.
. ^zz++++=EXTRAWORD
Agardh ^np+++??+=Agardh
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
amblyodon ^nn+++??+=amblyodon
( ^zz++++=(Itzigsohn)
itzigsohn ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Rabenhorst ^np+++??+=Rabenhorst,
, ^zz++++=EXTRAWORD
Micrasterias ^np+++??+=Micrasterias
laticeps ^nns+++??+=laticeps
Nordstedt ^np+++??+=Nordstedt
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
acuminata ^nn+++??+=acuminata
Krieger ^np+++??+=Krieger,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
pinnatifida ^nn+++??+=pinnatifida
( ^zz++++=(K
k ^zz++++=EXTRAWORD
tzing ^nn+++??+=tzing)
) ^zz++++=EXTRAWORD
Ralfs ^np+++??+=Ralfs,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
truncata ^nn+++??+=truncata
( ^zz++++=(Corda)
corda ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
truncata ^nn+++??+=truncata,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
truncata ^nn+++??+=truncata
( ^zz++++=(Corda)
corda ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
excavata ^nn+++??+=excavata
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
Sphaerozosma ^np+++??+=Sphaerozosma
granulatum ^nn+++??+=granulatum
Roy ^np++++=Roy
& ^zz++++=&
Bisset ^np++++=Bisset,
, ^zz++++=EXTRAWORD
Staurastrum ^np+++??+=Staurastrum
inaequale ^nn+++??+=inaequale
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
punctulatum ^nn+++??+=punctulatum
Br ^np+++??+=Br
bisson ^nn+++??+=bisson,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
quadrangulare ^nn+++??+=quadrangulare
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
quadrangulare ^nn+++??+=quadrangulare,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
quadrangulare ^nn+++??+=quadrangulare
Br ^np+++??+=Br
bisson ^nn+++??+=bisson
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
longispinum ^nn+++??+=longispinum
B ^zz++++=B
rgesen ^nn+++??+=rgesen,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
rotula ^nn+++??+=rotula
Nordstedt ^np+++??+=Nordstedt,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
trifidum ^nn+++??+=trifidum
Nordstedt ^np+++??+=Nordstedt
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
tortum ^nn+++??+=tortum
( ^zz++++=(B
b ^zz++++=EXTRAWORD
rgesen ^nn+++??+=rgesen)
) ^zz++++=EXTRAWORD
Gr ^np+++??+=Gr
nblad ^nn+++??+=nblad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tetmemorus ^np+++??+=Tetmemorus
granulatus ^nns+++??+=granulatus
( ^zz++++=(Br
br ^nn+++??+=EXTRAWORD
bisson ^nn+++??+=bisson)
) ^zz++++=EXTRAWORD
Ralfs ^np+++??+=Ralfs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
material ^nn++++=material
for ^in++++=for
these ^dt+dem+++=these
studies ^nns++++=studies
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
artificial ^jj+atrb+++=artificial
tanks ^nns++++=tanks,
, ^zz++++=EXTRAWORD
ditches ^nns++++=ditches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rain ^nn++++=rain
pools ^nns++++=pools
within ^in++++=within
the ^ati++++=the
Pefi ^np+++??+=PEFI
area ^nn++++=area,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
specific ^jj+atrb+++=specific
collection ^nn++++=collection
sites ^nns++++=sites
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
detailed ^jj++++=detailed.
. ^zz++++=EXTRAWORD
