All ^abn++++=All
fraction ^nn++++=fraction
of ^in++++=of
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract
( ^zz++++=(EE)
ee ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
Engl ^np+++??+=Engl
demonstrates ^vbz+vpub+++=demonstrates
potential ^nn++++=potential
for ^in++++=for
incorporation ^nn++++=incorporation
into ^in++++=into
preventive ^jj++++=preventive
and ^cc+phrs+++=and
therapeutic ^jj+atrb+++=therapeutic
dental ^jj+atrb+++=dental
products ^nns++++=products,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
its ^pp$+it+++=its
activity ^nn++++=activity
against ^in++++=against
Streptococcus ^np+++??+=Streptococcus
mitis ^nns+++??+=mitis
and ^cc++++=and
S ^zz++++=S.
. ^zz++++=EXTRAWORD
oralis ^nns+++??+=oralis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
involved ^vpsv++agls+xvbnx+=involved
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
colonization ^nn++++=colonization
of ^in++++=of
the ^ati++++=the
tooth ^nn++++=tooth
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mutans ^nns+++??+=mutans,
, ^zz++++=EXTRAWORD
a ^at++++=a
primary ^jj+atrb+++=primary
etiological ^nn+++??+=etiological
agent ^nn++++=agent
in ^in++++=in
the ^ati++++=the
initiation ^nn++++=initiation
and ^cc++++=and
progression ^nn++++=progression
of ^in++++=of
dental ^jj+atrb+++=dental
caries ^nn++++=caries
and ^cc++++=and
related ^xvbn+++xvbn+=related
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Duarte ^np+++??+=Duarte
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
phenolic ^nn+++??+=phenolic
compounds ^nns++++=compounds
against ^in++++=against
S ^zz++++=S.
. ^zz++++=EXTRAWORD
mutans ^nns+++??+=mutans
biofilm ^nn+++??+=biofilm,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
further ^jjb+atrb+++=further
support ^nn++++=support
for ^in++++=for
the ^ati++++=the
potential ^jj+atrb+++=potential
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
extract ^nn++++=extract
in ^in++++=in
dental ^jj+atrb+++=dental
care ^nn++++=care.
. ^zz++++=EXTRAWORD
