When ^wrb+who+++=When
as ^in++++=as
specified ^nn++++=specified
by ^in++++=by
the ^ati++++=the
Hospital ^nn++++=Hospital
Infection ^nn++++=Infection
Control ^nn++++=Control
Commission ^nn++++=Commission
 ^zz++++=(HICC)
Hicc ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Of ^in++++=of
The ^ati++++=the
Respective ^jj+atrb+++=respective
Health ^nn++++=health
Service ^nn++++=service.
 ^zz++++=EXTRAWORD
