Time ^nn++++=Time
the ^ati++++=the
logistic ^nn+++??+=logistic
regression ^nn++++=regression
models ^nns++++=models,
, ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA,
, ^zz++++=EXTRAWORD
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(MPA),
mpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vigorous ^jj+atrb+++=vigorous
physical ^jj+atrb+++=physical
activity ^nn++++=activity
( ^zz++++=(VPA)
vpa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
self ^nn++++=self-isolation
- ^zz++++=EXTRAWORD
isolation ^nn++++=EXTRAWORD
were ^vbd+bed+aux++=were
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
dichotomous ^vbz+++??+=dichotomous
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
Mvpa ^np+++??+=MVPA
and ^cc++++=and
Mpa ^np+++??+=MPA
were ^vbd+bed+vrb++=were
categorized ^nn+++??+=categorized
as ^ql++++=as
either ^dtx++++=either
less ^rbr++++=less
than ^in++++=than
30 ^cd++++=30
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day
or ^cc++++=or
30 ^cd++++=30
minutes ^nns++++=minutes
or ^cc++++=or
more ^ql++++=more
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Vpa ^np+++??+=VPA
was ^vbd+bedz+vrb++=was
categorized ^nn+++??+=categorized
as ^ql++++=as
either ^dtx++++=either
less ^rbr++++=less
than ^in++++=than
15 ^cd++++=15
minutes ^nns++++=minutes
per ^nnu++++=per
day ^nn++++=day
or ^cc++++=or
15 ^cd++++=15
minutes ^nns++++=minutes
or ^cc++++=or
more ^ql++++=more
per ^nnu++++=per
day ^nn++++=day.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
thresholds ^nns+++??+=thresholds
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
to ^in++++=to
align ^nn+++??+=align
with ^in++++=with
public ^jj+atrb+++=public
health ^nn++++=health
recommendations ^nns++++=recommendations
of ^in++++=of
150 ^cd++++=150
minutes ^nns++++=minutes
of ^in++++=of
mvpa ^np++++=MVPA
or ^cc++++=or
75 ^cd++++=75
minutes ^nns++++=minutes
of ^in++++=of
vpa ^np++++=VPA
per ^in++++=per
week ^nn++++=week.
. ^zz++++=EXTRAWORD
