While ^cs+sub+++=While
improves ^vbz++++=improves
neuroplasticity ^nn+++??+=neuroplasticity
and ^cc++++=and
functions ^nns++++=functions
on ^in++++=on
the ^ati++++=the
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
reflected ^vpbn+vprv++xvbn+=reflected
by ^in++++=by
the ^ati++++=the
increase ^nn++++=increase
of ^in++++=of
neurotrophic ^nn+++??+=neurotrophic
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
brain ^nn++++=brain-derived
- ^zz++++=EXTRAWORD
derived ^vbd+++xvbn+=EXTRAWORD
neurotrophic ^nn+++??+=neurotrophic
factors ^nns++++=factors
( ^zz++++=(BDNF)34.
bdnf)34 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
changes ^nns++++=changes
in ^in++++=in
Bdnf ^np+++??+=BDNF
levels ^nns++++=levels
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
antidepressant ^nn+++??+=antidepressant
effects ^nns++++=effects
of ^in++++=of
exercise35 ^nn+++??+=exercise35.
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
Mvpa ^np+++??+=MVPA
can ^md+pos+++=can
fortify ^vb++++=fortify
the ^ati++++=the
antiinflammatory ^nn+++??+=antiinflammatory
and ^cc++++=and
antioxidant ^nn+++??+=antioxidant
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
increased ^vpsv++agls+xvbnx+=increased
in ^in++++=in
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
disorders36 ^nn+++??+=disorders36.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
randomized ^vb+++??+=randomized
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
inducing ^j++++=inducing
Sb ^np+++??+=SB
increases ^vbz++++=increases
depressive ^nn+++??+=depressive
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
effect ^nn++++=effect
is ^vbz+bez+vrb++=is
partially ^rb+down+++=partially
mediated ^nn+++??+=mediated
by ^in++++=by
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
inflammatory ^jj+atrb+++=inflammatory
markers37 ^nn+++??+=markers37.
. ^zz++++=EXTRAWORD
Fourth ^rb+cnj+++=Fourth,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
large ^jj+atrb+++=large
body ^nn++++=body
of ^in++++=of
literature ^nn++++=literature
about ^in++++=about
the ^ati++++=the
risks ^nns++++=risks
of ^in++++=of
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
casualties ^nns++++=casualties
and ^cc++++=and
other ^ap++++=other
anxiogenic ^nn+++??+=anxiogenic
content ^nn++++=content
available ^jj++++=available
being ^xvbg+++xvbg+=being
consumed ^vbd+++xvbn+=consumed
during ^in++++=during
the ^ati++++=the
self ^nn++++=self-isolation38,
- ^zz++++=EXTRAWORD
isolation38 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
time ^nn++++=time
spent ^vbd+++xvbn+=spent
in ^in++++=in
Mvpa ^np+++??+=MVPA
can ^md+pos+++=can
also ^rb++++=also
work ^nn++++=work
as ^ql++++=as
a ^at++++=a
distraction ^nn++++=distraction
when ^wrb+who+++=when
participants ^nns++++=participants
are ^vb+ber+vrb++=are
focusing ^nn+++??+=focusing
in ^in++++=in
the ^ati++++=the
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
ruminating ^jj+atrb+++=ruminating
that ^cs+sub+++=that
specific ^jj+atrb+++=specific
information ^nn++++=information.
. ^zz++++=EXTRAWORD
Fifth ^rb+cnj+++=Fifth,
, ^zz++++=EXTRAWORD
psychosocial ^jj+atrb+++=psychosocial
mechanisms ^nns++++=mechanisms
including ^in++++=including
social ^jj+atrb+++=social
connectivity ^nn+++??+=connectivity
may ^md+pos+++=may
be ^vb+be+vrb++=be
key ^jjb+atrb+++=key
mechanisms ^nns++++=mechanisms
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
antidepressant ^nn+++??+=antidepressant
effect ^nn++++=effect
of ^in++++=of
exercise ^nn++++=exercise.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
more ^rbr++++=more
physically ^rb++++=physically
active ^jj++++=active
may ^md+pos+++=may
engage ^vb++++=engage
in ^in++++=in
more ^rbr++++=more
social ^jj+atrb+++=social
interaction ^nn++++=interaction
when ^wrb+who+++=when
participating ^jj+++xvbg+=participating
in ^in++++=in
group ^nn++++=group
exercise ^nn++++=exercise
classes ^nns++++=classes
as ^ql++++=as
using ^jj+atrb++xvbg+=using
social ^jj+atrb+++=social
media ^nns++++=media/online
social ^jj+atrb+++=social
interaction ^nn++++=interaction
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
positive ^nn++++=positive
affect ^vb++++=affect
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic39 ^nn+++??+=pandemic39.
. ^zz++++=EXTRAWORD
Lastly ^rb+cnj+++=Lastly,
, ^zz++++=EXTRAWORD
a ^at++++=a
body ^nn++++=body
of ^in++++=of
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
bidirectional ^nn+++??+=bidirectional
relationship ^nn++++=relationship
between ^in++++=between
Mvpa ^np+++??+=MVPA
and ^cc++++=and
Sb ^np+++??+=SB
with ^in++++=with
depressive ^nn+++??+=depressive
symptoms ^nns++++=symptoms
and ^cc++++=and
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
people ^nns++++=people
with ^in++++=with
depressive ^nn+++??+=depressive
and ^cc++++=and
anxiety ^nn++++=anxiety
symptoms ^nns++++=symptoms
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
active ^jj+pred+++=active
and ^cc++++=and
more ^rbr++++=more
sedentary40 ^nn++++=sedentary40.
. ^zz++++=EXTRAWORD
