Therefore ^rb+cnj+++=Therefore,
including ^in++++=including
toothache ^nn++++=toothache,
, ^zz++++=EXTRAWORD
diarrhea ^nn+++??+=diarrhea,
, ^zz++++=EXTRAWORD
flu ^nn++++=flu
and ^cc++++=and
inflammations ^nns+++??+=inflammations
( ^zz++++=(Agra
agra ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
Albuquerque ^np+++??+=Albuquerque
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
Albuquerque ^np+++??+=Albuquerque
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007,
, ^zz++++=EXTRAWORD
Albuquerque ^np+++??+=Albuquerque
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
bark ^nn++++=bark
of ^in++++=of
S ^zz++++=S.
. ^zz++++=EXTRAWORD
brasiliensis ^nns+++??+=brasiliensis
presents ^vbz++++=presents
polyphenols ^nns+++??+=polyphenols,
, ^zz++++=EXTRAWORD
flavonoids ^nns+++??+=flavonoids,
, ^zz++++=EXTRAWORD
tannins ^nns+++??+=tannins
and ^cc++++=and
saponins ^nns+++??+=saponins
( ^zz++++=(Chaves
chaves ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Fernandes ^np++++=Fernandes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
compounds ^nns++++=compounds
with ^in++++=with
biological ^jj+atrb+++=biological
activities ^nns++++=activities
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
isolated ^vpsv++agls+xvbnx+=isolated
( ^zz++++=(Cardoso
cardoso ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
Cardoso ^np+++??+=Cardoso
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
Santos ^np++++=Santos
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
way ^nn++++=way,
, ^zz++++=EXTRAWORD
Santos ^np++++=Santos
et ^&fw++++=et
al ^np++++=al
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
detected ^vbd+++xvbn+=detected
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
flavonoids ^nns+++??+=flavonoids
and ^cc++++=and
tannins ^nns+++??+=tannins
in ^in++++=in
the ^ati++++=the
hydroalcoholic ^nn+++??+=hydroalcoholic
extract ^nn++++=extract
of ^in++++=of
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
S.brasiliensis ^np+++??+=S.brasiliensis,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
toxicity ^nn+++??+=toxicity.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
phenolic ^nn+++??+=phenolic
compounds ^nns++++=compounds
in ^in++++=in
the ^ati++++=the
bark ^nn++++=bark
of ^in++++=of
this ^dt+dem+++=this
plant ^nn++++=plant
are ^vb+ber+vrb++=are
degraded ^jj+pred+++=degraded
in ^in++++=in
temperatures ^nns++++=temperatures
above ^jjb++++=above
125 ^cd++++=125
c ^zz++++=C
( ^zz++++=(Fernandes
fernandes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
