Library ^npl+nom+++=Library
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed,
, ^zz++++=EXTRAWORD
without ^in++++=without
size ^nn++++=size
selection ^nn+nom+++=selection.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
all ^abn++++=all
clean ^jj++++=clean-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
washes ^vbz++++=washes
foreseen ^vbd+++xvbn+=foreseen
in ^in++++=in
the ^ati++++=the
workflow ^nn+++??+=workflow
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
maintaining ^vbg+++xvbg+=maintaining
samples ^nns++++=samples/beads
complex ^jj++++=complex
in ^in++++=in
the ^ati++++=the
magnetic ^jj+atrb+++=magnetic
plate ^nn++++=plate
and ^cc++++=and
using ^jj+atrb++xvbg+=using
room ^nn++++=room
temperature ^nn++++=temperature
80 ^cd++++=80%
% ^zz++++=EXTRAWORD
( ^zz++++=(vol/vol)
vol ^nn++++=EXTRAWORD
ethanol ^nn+++??+=ethanol.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
da ^np++++=dA-tailing
- ^zz++++=EXTRAWORD
tailing ^nn+nom+++=EXTRAWORD
reaction ^nn+nom+++=reaction
of ^in++++=of
blunt ^jj++++=blunt-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
Dna ^np+++??+=DNA
fragments ^nns+nom+++=fragments,
, ^zz++++=EXTRAWORD
Nebnext ^np+++??+=NEBNext
da ^np++++=dA-Tailing
- ^zz++++=EXTRAWORD
tailing ^nn+nom+++=EXTRAWORD
Module ^np+++??+=Module
( ^zz++++=(New
new ^jj+atrb+++=EXTRAWORD
England ^np++++=England
Biolabs ^np+++??+=Biolabs)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
followed ^j+++xvbn+=followed,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
by ^in++++=by
an ^at++++=an
optimized ^jj+++xvbn+=optimized
clean ^jj++++=clean-up
- ^zz++++=EXTRAWORD
up ^rb+phrv+++=EXTRAWORD
with ^in+ppvb+++=with
Ampure ^np+++??+=AMPure
Xp ^np+++??+=XP
beads ^nns++++=beads
( ^zz++++=(Beckman
beckman ^jj+atrb+++=EXTRAWORD
Coulter ^np+++??+=Coulter).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
quality ^nn+nom+++=quality
and ^cc++++=and
quantity ^nn+nom+++=quantity
for ^in++++=for
each ^dt++++=each
sample ^nn++++=sample
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated
with ^in++++=with
2100 ^cd++++=2100
Bioanalyzer ^np+nom++??+=Bioanalyzer
with ^in++++=with
a ^at++++=a
High ^jj++++=High-Sensitivity
- ^zz++++=EXTRAWORD
sensitivity ^nn+nom+++=EXTRAWORD
Dna ^np+++??+=DNA
Assay ^nn++++=Assay
Kit ^nn++++=Kit
( ^zz++++=(Agilent
agilent ^jj+atrb+++=EXTRAWORD
Technologies ^np+++??+=Technologies).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
using ^xvbg+++xvbg+=using
the ^ati++++=the
so ^ql++++=so-obtained
- ^zz++++=EXTRAWORD
obtained ^vbd+++xvbn+=EXTRAWORD
molarity ^nn+nom+++=molarity
for ^in++++=for
each ^dt++++=each
cfdna ^nn+++??+=cfDNA
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
the ^ati++++=the
needed ^jj+atrb++xvbn+=needed
volume ^nn++++=volume
of ^in++++=of
Ds ^nn++++=DS
adapters ^nns+nom+++=adapters
( ^zz++++=(for
for ^in++++=EXTRAWORD
sequences ^nns+nom+++=sequences
and ^cc++++=and
synthesis ^nn++++=synthesis
) ^zz++++=)
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
an ^at++++=an
optimized ^jj+atrb++xvbn+=optimized
ratio ^nn++++=ratio
of ^in++++=of
10:1 ^cd++++=10:1
molar ^nn+++??+=molar
excess ^nn++++=excess
of ^in++++=of
Ds ^nn++++=DS
adapters ^nns+nom+++=adapters
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
cfdna ^nn+++??+=cfDNA.
. ^zz++++=EXTRAWORD
Ds ^npt++++=DS
adapter ^jjr+atrb+++=adapter
ligation ^nn+nom+++=ligation
occurred ^vbd+++xvbn+=occurred
with ^in++++=with
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
T4 ^np+++??+=T4
Dna ^np+++??+=DNA
Ligase ^np+++??+=Ligase
Rapid ^jj+atrb+++=Rapid
Enzyme ^np+++??+=Enzyme
( ^zz++++=(600,000
600,000 ^cd++++=EXTRAWORD
U ^zz++++=U
ml ^nnu++++=ml
, ^zz++++=,
Qiagen ^np+++??+=Qiagen)
) ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
longer ^rbr++++=longer
incubation ^nn+nom+++=incubation
time ^nn++++=time
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
manufacturer ^nn+nom+++=manufacturer
s ^zz++++=s
instructions ^nns+nom+++=instructions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+++xvbg+=following
Ampure ^np+++??+=AMPure
Xp ^np+++??+=XP
beads ^nns++++=beads-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
clean ^jj++++=clean-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
step ^nn++++=step
was ^vbd+bedz+aux++=was
improved ^vpsv++agls+xvbnx+=improved
to ^to++++=to
capture ^vbi++++=capture
all ^abn++++=all
Ds ^nn++++=DS
adapter ^jjr+atrb+++=adapter/cfDNA-ligated
fragments ^nns+nom+++=fragments
and ^cc++++=and
to ^to++++=to
wash ^vbi++++=wash
out ^rp+pl+++=out
free ^jj+atrb+++=free
adapters ^nns+nom+++=adapters.
. ^zz++++=EXTRAWORD
Dna ^np+++??+=DNA
libraries ^nns++++=libraries,
, ^zz++++=EXTRAWORD
eluted ^xvbn+++xvbn+=eluted
in ^in++++=in
1 ^zz++++=1
Te ^np+++??+=TE
Buffer ^np+++??+=Buffer
Low ^jj+atrb+++=Low
Edta ^np+++??+=EDTA
( ^zz++++=(Affymetrix),
affymetrix ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
evaluated ^vpsv++by+xvbnx+=evaluated
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
2100 ^cd++++=2100
Bioanalyzer ^np+nom++??+=Bioanalyzer
with ^in++++=with
a ^at++++=a
High ^jj++++=High-Sensitivity
- ^zz++++=EXTRAWORD
sensitivity ^nn+nom+++=EXTRAWORD
Dna ^np+++??+=DNA
Assay ^nn++++=Assay
Kit ^nn++++=Kit
( ^zz++++=(Agilent
agilent ^jj+atrb+++=EXTRAWORD
Technologies ^np+++??+=Technologies)
) ^zz++++=EXTRAWORD
to ^to++++=to
verify ^vbi+vpub+++=verify
the ^ati++++=the
proper ^jj+atrb+++=proper
ligation ^nn+nom+++=ligation
of ^in++++=of
Ds ^nn++++=DS
adapters ^nns+nom+++=adapters
and ^cc++++=and
to ^to++++=to
calculate ^nn+nom+++=calculate
the ^ati++++=the
molarity ^nn+nom+++=molarity
of ^in++++=of
fragments ^nns+nom+++=fragments
of ^in++++=of
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
point ^nn++++=point,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
updated ^vbd+++xvbn+=updated
the ^ati++++=the
Ds ^nn++++=DS
workflow ^nn+++??+=workflow
for ^in++++=for
cfdna ^nn+++??+=cfDNA
processing ^vwbg+++xvbg+=processing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
yield ^nn++++=yield
we ^pp1a+pp1+++=we
usually ^rb+down+++=usually
obtained ^vbd+++xvbn+=obtained
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
attomoles ^nns+++??+=attomoles
was ^vbd+bedz+vrb++=was
extremely ^rb+amp+++=extremely
lower ^jjr+pred+++=lower
than ^cs+sub+++=than
that ^dt+dem+++=that
suggested ^vpsv++by+xvbn+=suggested
by ^in++++=by
the ^ati++++=the
authors ^nns++++=authors
as ^in++++=as
necessary ^nn++++=necessary
for ^in++++=for
proceeding ^nn++++=proceeding
on ^in++++=on
the ^ati++++=the
bases ^nns++++=bases
of ^in++++=of
the ^ati++++=the
target ^nn++++=target
size ^nn++++=size
of ^in++++=of
our ^pp$+pp1+++=our
custom ^nn++++=custom
panel ^nn++++=panel.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^nn++++=following
step ^vb++++=step
of ^in++++=of
Pcr ^np+++??+=PCR
amplification ^nn+nom+++=amplification
for ^in++++=for
Duplex ^np+++??+=Duplex
families ^nns++++=families
generation ^nn+nom+++=generation
was ^vbd+bedz+aux++=was
implemented ^vpsv++agls+xvbnx+=implemented,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
parallel ^jj+atrb+++=parallel
reactions ^nns+nom+++=reactions
( ^zz++++=(ranging
ranging ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
four ^cd++++=four
to ^to++++=to
six ^cd++++=six)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Pcr ^np+++??+=PCR
cycles ^nns++++=cycles
( ^zz++++=(ranging
ranging ^vbg+++xvbg+=EXTRAWORD
from ^in++++=from
nine ^cd++++=nine
to ^to++++=to
12 ^cd++++=12),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
obtain ^vbi++++=obtain
the ^ati++++=the
best ^jjt+atrb+++=best
possible ^jj+atrb+++=possible
balance ^nn+nom+++=balance
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Duplex ^np+++??+=Duplex
consensus ^nn++++=consensus
families ^nns++++=families
members ^nns+nom+++=members
and ^cc++++=and
the ^ati++++=the
total ^nn++++=total
yield ^vb++++=yield
of ^in++++=of
amplified ^jj+atrb++xvbn+=amplified
libraries ^nns++++=libraries.
. ^zz++++=EXTRAWORD
Duplicate ^nn+nom+++=Duplicate
families ^nns++++=families
were ^vbd+bed+aux++=were
obtained ^vpsv++by+xvbnx+=obtained
by ^in++++=by
using ^xvbg+++xvbg+=using
Kapa ^np+++??+=KAPA
Hotstart ^np+++??+=HotStart
Pcr ^np+++??+=PCR
Kit ^nn++++=Kit
( ^zz++++=(250
250 ^cd++++=EXTRAWORD
U ^zz++++=U,
, ^zz++++=EXTRAWORD
Roche ^np+++??+=Roche)
) ^zz++++=EXTRAWORD
and ^cc++++=and
primers ^nns+nom+++=primers
specific ^jj++++=specific
for ^in++++=for
the ^ati++++=the
Ds ^npt++++=DS
approach ^nn++++=approach
( ^zz++++=(for
for ^in++++=EXTRAWORD
all ^abn++++=all
oligo ^nn+++??+=oligo
sequences ^nns+nom+++=sequences
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
clean ^jj++++=clean-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
step ^nn++++=step
was ^vbd+bedz+aux++=was
improved ^vpsv++agls+xvbnx+=improved
also ^rb++++=also
in ^cs+sub+++=in
that ^cs"++++=that
case ^nn++++=case
and ^cc++++=and
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbn+=performed
on ^in++++=on
pooled ^vbd+++xvbn+=pooled
pcrs ^np++++=PCRs
for ^in++++=for
each ^dt++++=each
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
