Yet ^rb+cnj+++=Yet,
health ^nn++++=health
disparities ^nns+nom+++=disparities
populations ^nns+nom+++=populations
( ^zz++++=(rural-only
rural ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
disparities ^nns+nom+++=disparities
versus ^in++++=versus
rural ^nn++++=rural
intersected ^vbd+++xvbn+=intersected
with ^in++++=with
race ^nn++++=race,
, ^zz++++=EXTRAWORD
ethnicity ^nn+nom+++=ethnicity,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
gender ^nn++++=gender
disparities ^nns+nom+++=disparities)
) ^zz++++=EXTRAWORD
( ^zz++++=(
93 ^cd++++=93
) ^zz++++=)
and ^cc++++=and
reflecting ^vbg+vprv++xvbg+=reflecting
on ^in++++=on
the ^ati++++=the
opportunities ^nns+nom+++=opportunities
for ^in++++=for
meaningful ^jj+atrb+++=meaningful
engagement ^nn+nom+++=engagement
with ^in++++=with
newly ^rb++++=newly
arrived ^vbd+++xvbn+=arrived
community ^nn+nom+++=community
members ^nns+nom+++=members
in ^in++++=in
new ^jj+atrb+++=new
destination ^nn+nom+++=destination
communities ^nns+nom+++=communities
( ^zz++++=(
72 ^cd++++=72
, ^zz++++=,
93 ^cd++++=93
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
importance ^nn+nom+++=importance
of ^in++++=of
an ^at++++=an
equity ^nn++++=equity-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
participatory ^nn++++=participatory
implementation ^nn+nom+++=implementation
science ^nn+nom+++=science
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
highlighted ^vpsv++agls+xvbnx+=highlighted
as ^in++++=as
an ^at++++=an
opportunity ^nn+nom+++=opportunity
to ^to+ncmp+++=to
promote ^vbi++++=promote
rural ^jj+atrb+++=rural
cancer ^nn++++=cancer
control ^nn++++=control
( ^zz++++=(
129 ^cd++++=129
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
346 ^cd++++=346).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
