Analysing ^vbg+++xvbg+=Analysing
attract ^vb++++=attract
result ^nn++++=result
from ^in++++=from
the ^ati++++=the
absolute ^jj+atrb+++=absolute
value ^nn++++=value
that ^tht+rel+obj++=that
journalists ^nns++++=journalists
and ^cc++++=and
political ^jj+atrb+++=political
writers ^nns++++=writers
place ^nn++++=place
on ^in++++=on
this ^dt+dem+++=this
form ^nn++++=form
of ^in++++=of
agency ^nn++++=agency.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
whose ^whp+rel+obj++=whose
modes ^nns++++=modes
of ^in++++=of
agentival ^nn+++??+=agentival
embodiment ^nn++++=embodiment
do ^vb+do+aux++=do
not ^xnot++not++=not
conform ^vb++++=conform
to ^in++++=to
this ^dt+dem+++=this
model ^nn++++=model,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
behaviour ^nn++++=behaviour
is ^vbz+bez+aux++=is
informed ^vpsv++agls+xvbnx+=informed,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
by ^in++++=by
norms ^nns++++=norms
aiming ^vwbg+++xvbg+=aiming
at ^rb++++=at
self ^nn++++=self-transcendence
- ^zz++++=EXTRAWORD
transcendence ^nn+++??+=EXTRAWORD
( ^zz++++=(
Mahmood ^np++++=Mahmood,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
: ^zz++++=:
148 ^cd++++=148)
) ^zz++++=EXTRAWORD
will ^md+prd+++=will
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
represented ^vpsv++agls+xvbnx+=represented
as ^ql++++=as
suffering ^jj+++xvbg+=suffering
from ^in++++=from
false ^jj++++=false-consciousness
- ^zz++++=EXTRAWORD
consciousness ^nn++++=EXTRAWORD
or ^cc++++=or
performing ^vbg+++xvbg+=performing
a ^at++++=a
disservice ^nn++++=disservice
to ^in++++=to
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
women ^nns++++=women's
's ^$++++=EXTRAWORD
rights ^nns++++=rights
( ^zz++++=(
Al ^np++++=Al-Hejin,
- ^zz++++=EXTRAWORD
hejin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
: ^zz++++=:
22 ^cd++++=22).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
political ^jj+atrb+++=political
discourse ^nn++++=discourse
underwritten ^nn+++??+=underwritten
by ^in++++=by
a ^at++++=a
notion ^nn++++=notion
of ^in++++=of
political ^jj+atrb+++=political
agency ^nn++++=agency
as ^in++++=as
behaviour ^nn++++=behaviour
that ^tht+rel+subj++=that
transcends ^vbz++++=transcends
the ^ati++++=the
self ^nn++++=self
in ^in++++=in
the ^ati++++=the
modern ^jj+atrb+++=modern
nation ^nn++++=nation-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
would ^md+prd+++=would
construct ^vb++++=construct
women ^nns++++=women
differently ^rb++++=differently.
. ^zz++++=EXTRAWORD
As ^ql++++=As
matters ^nns++++=matters
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
confined ^xvbn+++xvbn+=confined
Saudi ^np+++??+=Saudi
women ^nns++++=women
and ^cc++++=and
liberated ^jj+++xvbn+=liberated,
, ^zz++++=EXTRAWORD
secularised ^nn+++??+=secularised
Kurdish ^np+++??+=Kurdish
women ^nns++++=women
are ^vb+ber+vrb++=are
the ^ati++++=the
liberal ^jj++++=liberal-leftist
- ^zz++++=EXTRAWORD
leftist ^nn++++=EXTRAWORD
discourse ^nn++++=discourse's
's ^vbz+bez+vrb++0=EXTRAWORD
mythical ^jj+atrb+++=mythical
creatures ^nns++++=creatures.
. ^zz++++=EXTRAWORD
