Furthermore ^rb+cnj+++=Furthermore,
may ^md+pos+++=may
trigger ^vb++++=trigger
other ^ap++++=other
replies ^vbz+vpub+++=replies
posted ^vbd+++xvbn+=posted
after ^in+strn+++=after.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
communicative ^jj+atrb+++=communicative
functions ^nns+nom+++=functions
of ^in++++=of
the ^ati++++=the
keywords ^nns+++??+=keywords
within ^in++++=within
a ^at++++=a
reply ^nn++++=reply
might ^md+pos+++=might
be ^vb+be+vrb++=be
better ^jjr++++=better
interpreted ^jj+++xvbn+=interpreted
in ^in++++=in
light ^in"++++=light
of ^in"++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
thread ^nn++++=thread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preferably ^rb++++=preferably
with ^in++++=with
an ^at++++=an
interactional ^jj+atrb+++=interactional
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
