No ^at++++=No
difference ^nn+nom+++=difference
between ^in++++=between
structure ^nn++++=structure
types ^nns++++=types
is ^vbz+bez+vrb++=is
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
( ^zz++++=(
2 ^zz++++=2
( ^zz++++=(1,
1 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
N ^zz++++=N
= ^zz++++==
69 ^cd++++=69)
) ^zz++++=EXTRAWORD
= ^zz++++==
10.81 ^cd++++=10.81,
, ^zz++++=EXTRAWORD
p ^zz++++=p
> ^zz++++=>.01).
. ^zz++++=EXTRAWORD
01 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
should ^md+nec+++=should
note ^vb+vprv+++=note
in ^in++++=in
this ^dt+dem+++=this
respect ^nn++++=respect
that ^tht+rel+++=that
coordinated ^jj+atrb+++=coordinated
size ^nn++++=size
- ^zz++++=-patterns
patterns ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
prosodically ^rb++++=prosodically
and ^cc+phrs+++=and
syntactically ^rb++++=syntactically
heavier ^jjr+atrb+++=heavier
structures ^nns++++=structures
than ^in++++=than
sizeadjective ^jj+atrb+++=sizeadjective
clusters ^nns+nom+++=clusters
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
allow ^vbi++++=allow
predicative ^jj++++=predicative
placement ^nn+nom+++=placement
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
the ^ati++++=the
principle ^nn++++=principle
of ^in++++=of
end ^nn++++=end-weight
- ^zz++++=EXTRAWORD
weight ^nn++++=EXTRAWORD
( ^zz++++=(
rosenbach ^np++++=Rosenbach
2002 ^cd++++=2002
: ^zz++++=:37;
37 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
berlage ^np+nom+++=Berlage
2014 ^cd++++=2014
: ^zz++++=:24).
24 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
