During ^in++++=During
Core ^nn++++=Core
chronologies ^nns+++??+=chronologies
were ^vbd+bed+aux++=were
established ^vpsv++agls+xvbnx+=established
using ^vbg+++xvbg+=using
Optically ^np+++??+=Optically
Stimulated ^vbd+++xvbn+=Stimulated
Luminescence ^np+++??+=Luminescence
( ^zz++++=(OSL)
osl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
radiocarbon ^nn+++??+=radiocarbon
( ^zz++++=(14C)
14c ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
dating ^vbg+++xvbg+=dating.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
samples ^nns++++=samples
for ^in++++=for
quartz ^nn++++=quartz
Osl ^np+++??+=OSL
dating ^vwbg+++xvbg+=dating
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc+phrs+++=and
processed ^vbd+++xvbn+=processed
at ^rb++++=at
the ^ati++++=the
Luminescence ^np+++??+=Luminescence
and ^cc++++=and
Gamma ^nn++++=Gamma
Spectrometry ^np+++??+=Spectrometry
Laboratory ^nn++++=Laboratory,
, ^zz++++=EXTRAWORD
Instituto ^np+++??+=Instituto
de ^&fw++++=de
Geoci ^np+++??+=Geoci
ncias ^nns+++??+=ncias,
, ^zz++++=EXTRAWORD
Universidade ^np+++??+=Universidade
de ^&fw++++=de
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
samples ^nns++++=samples
for ^in++++=for
14c ^cd++++=14C
dating ^nvbg+++xvbg+=dating
were ^vbd+bed+aux++=were
prepared ^vpsv++agls+xvbnx+=prepared
and ^cc++++=and
analyzed ^nn+++??+=analyzed
at ^rb++++=at
the ^ati++++=the
Analytic ^np+++??+=Analytic
Radiocarbon ^np+++??+=Radiocarbon
Dating ^vwbg+++xvbg+=Dating
facility ^nn++++=facility
in ^in++++=in
Miami ^np++++=Miami
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
Radiocarbon ^np+++??+=Radiocarbon
Laboratory ^nn++++=Laboratory,
, ^zz++++=EXTRAWORD
Universidade ^np+++??+=Universidade
Federal ^jj+atrb+++=Federal
Fluminense ^np+++??+=Fluminense
( ^zz++++=(LAC-UFF).
lac ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
uff ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
methodological ^jj+atrb+++=methodological
details ^nns++++=details
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
in ^in++++=in
Sawakuchi ^np+++??+=Sawakuchi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015).
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
Osl ^np+++??+=OSL
and ^cc++++=and
14c ^cd++++=14C
results ^nns++++=results,
, ^zz++++=EXTRAWORD
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
Xc1 ^np+++??+=XC1-02
- ^zz++++=EXTRAWORD
02 ^nn+++??+=EXTRAWORD
and ^cc++++=and
Xc ^np+++??+=XC-03
- ^zz++++=EXTRAWORD
03 ^nn+++??+=EXTRAWORD
cores ^nns++++=cores
correspond ^vb++++=correspond
to ^in++++=to
approximately ^rb+down+++=approximately
6,000 ^cd++++=6,000
calibrated ^jj+atrb++xvbn+=calibrated
years ^nns++++=years
before ^in++++=before
present ^jj++++=present
( ^zz++++=(cal
cal ^nn+++??+=EXTRAWORD
yr ^nn+++??+=yr
Bp ^np+++??+=BP)
) ^zz++++=EXTRAWORD
and ^cc++++=and
4,000 ^cd++++=4,000
cal ^nn+++??+=cal
yr ^nn+++??+=yr
Bp ^np+++??+=BP,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
encompassing ^nn+++??+=encompassing
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
mid ^jjb++++=Mid-Holocene
- ^zz++++=EXTRAWORD
holocene ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
late ^jj+atrb+++=Late
holocene ^np++++=Holocene.
. ^zz++++=EXTRAWORD
