Objective ^jj++++=Objective:
as ^ql++++=as
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
both ^abx++++=both
at ^in++++=at
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
capital ^nn++++=capital
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
Significant ^jj+atrb+++=Significant
differences ^nns++++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
services ^nns++++=services,
, ^zz++++=EXTRAWORD
with ^in++++=with
odds ^nns++++=odds
ratios ^nns++++=ratios
of ^in++++=of
2.74 ^cd++++=2.74
and ^cc++++=and
3.46 ^cd++++=3.46,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
