At ^rb++++=At
and ^cc++++=and
monogamy ^nn+++??+=monogamy,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
of ^in++++=of
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
a ^at++++=a
duality ^nn++++=duality
develops ^vbz++++=develops
in ^in++++=in
ethics ^nn++++=ethics
between ^in++++=between
evangelical ^jj+atrb+++=evangelical
counsels ^nns++++=counsels
for ^in++++=for
the ^ati++++=the
motivated ^jj+++xvbn+=motivated
and ^cc++++=and
precepts ^nns+++??+=precepts
for ^in++++=for
everyone ^pn++++=everyone
else ^rb+cnj+++=else
( ^zz++++=(Hauerwas,
hauerwas ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
expresses ^vbz++++=expresses
concern ^nn++++=concern
that ^tht+rel+obj++=that
efforts ^nns++++=efforts
to ^to+ncmp+++=to
support ^vbi++++=support
secular ^jj+atrb+++=secular
governments ^nns++++=governments
may ^md+pos+++=may
force ^vb++++=force
Christians ^nn++++=Christians
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
the ^ati++++=the
gospel ^nn++++=gospel
s ^zz++++=s
emphasis ^nn++++=emphasis
on ^in++++=on
self ^nn++++=self-sacrifice
- ^zz++++=EXTRAWORD
sacrifice ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
nation ^nn++++=nation
s ^zz++++=s
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
participation ^nn++++=participation
in ^in++++=in
war ^nn++++=war.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
opposes ^vbz++++=opposes
state ^nn++++=state-sponsored
- ^zz++++=EXTRAWORD
sponsored ^jj+atrb++xvbn+=EXTRAWORD
religious ^jj+atrb+++=religious
activities ^nns++++=activities
and ^cc++++=and
maintains ^vbz+vpub+++=maintains
that ^tht+vcmp+++=that
religious ^jj+atrb+++=religious
citizens ^nns++++=citizens
should ^md+nec+++=should
not ^xnot++not++=not
seek ^vb++++=seek
political ^jj+atrb+++=political
power ^nn++++=power
to ^to+ncmp+++=to
alter ^vbi++++=alter
societal ^nn+++??+=societal
values ^nns++++=values,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
should ^md+nec+++=should
instead ^rb+cnj+++=instead
focus ^nn++++=focus
on ^in++++=on
cultivating ^xvbg+++xvbg+=cultivating
the ^ati++++=the
virtues ^nns++++=virtues
necessary ^jj++++=necessary
to ^to+jcmp+++=to
achieve ^vbi++++=achieve
their ^pp$+pp3+++=their
communitarian ^nn++++=communitarian
objectives ^nns++++=objectives
within ^in++++=within
the ^ati++++=the
church ^nn++++=Church.
. ^zz++++=EXTRAWORD
