Among ^in++++=Among
Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
group ^nn++++=group
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
synonymous ^jj++++=synonymous
with ^in++++=with
the ^ati++++=the
genus ^nns+++??+=genus
Tibouchina ^np+++??+=Tibouchina
Aublet ^np+++??+=Aublet
sensu ^nn+++??+=sensu
Cogniaux ^np+++??+=Cogniaux
( ^zz++++=(1885,
1885 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
1891 ^cd+date+++=1891).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
morphological ^jj++++=morphological,
, ^zz++++=EXTRAWORD
molecular ^jj++++=molecular,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
geographic ^jj+atrb++??+=geographic
distribution ^nn++++=distribution
data ^nns++++=data,
, ^zz++++=EXTRAWORD
Tibouchina ^np+++??+=Tibouchina
was ^vbd+bedz+aux++=was
subsequently ^rb+tm+splt++=subsequently
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
four ^cd++++=four
well ^rb++++=well-supported
- ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=EXTRAWORD
genera ^nns++++=genera
( ^zz++++=(Michelangeli
michelangeli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Guimar ^np+++??+=Guimar
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
Tibouchina ^np+++??+=Tibouchina
sensu ^nn+++??+=sensu
stricto ^nn+++??+=stricto
now ^rn+tm+++=now
comprising ^jj+++xvbg+=comprising
only ^rb+down+++=only
35 ^cd++++=35
taxa ^jj+++??+=taxa
restricted ^jj+++xvbn+=restricted
to ^in++++=to
Cerrado ^np+++??+=Cerrado
environments ^nns++++=environments
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Guimar ^np+++??+=Guimar
es ^&fw++++=es
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Guimar ^np+++??+=Guimar
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Tibouchina ^np+++??+=Tibouchina
species ^nns++++=species
occurring ^vwbg+++xvbg+=occurring
in ^in++++=in
eastern ^jj+atrb+++=eastern
Brazil ^np++++=Brazil
were ^vbd+bed+vrb++=were
reassigned ^nn+++??+=reassigned
to ^to++++=to
two ^cd++++=two
distinct ^jj+atrb+++=distinct
genera ^nns++++=genera,
, ^zz++++=EXTRAWORD
Pleroma ^np+++??+=Pleroma
and ^cc++++=and
Chaetogastra ^np+++??+=Chaetogastra
Dc ^&fo++++=DC.
 ^zz++++=EXTRAWORD
 ^zz++++=(Guimar
Guimar ^np++++=EXTRAWORD
Es ^&fw++++=es
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
019 ^cd++++=2019).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
