At ^rb++++=At
it ^pp3+it+++=it
runs ^vbz++++=runs
between ^in++++=between
his ^pp$+pp3+++=his
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
textual ^jj+atrb+++=textual
element ^nn++++=element
serves ^vbz++++=serves
as ^in++++=as
an ^at++++=an
introduction ^nn++++=introduction
to ^in++++=to
the ^ati++++=the
visual ^jj+atrb+++=visual
narrative ^nn++++=narrative
presented ^vwbn+++xvbn+=presented
on ^in++++=on
page ^nn++++=page
11 ^cd++++=11.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
pages ^nns++++=pages
exhibit ^vb++++=exhibit
the ^ati++++=the
opposite ^jj+atrb+++=opposite
pattern ^nn++++=pattern:
: ^zz++++=EXTRAWORD
on ^in++++=on
page ^nn++++=page
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visual ^jj+atrb+++=visual
action ^nn++++=action
of ^in++++=of
Emily ^np+++??+=Emily
cooking ^vwbg+++xvbg+=cooking
with ^in++++=with
her ^pp3o+pp3+++=her
father ^npt++++=father
appears ^vbz+seem+++=appears
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
with ^in++++=with
Emily ^np+++??+=Emily
depicted ^vwbn+++xvbn+=depicted
on ^in++++=on
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
corresponding ^nn++++=corresponding
written ^vbd+++xvbn+=written
text ^nn++++=text,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
describes ^vbz++++=describes
the ^ati++++=the
cooking ^jj+atrb++xvbg+=cooking
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
foregrounded ^nn+++??+=foregrounded
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
page ^nn++++=page
within ^in++++=within
the ^ati++++=the
kitchen ^nn++++=kitchen
setting ^vwbg+++xvbg+=setting.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
following ^jj+atrb++xvbg+=following
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
again ^rb+tm+++=again
precedes ^vbz++++=precedes
the ^ati++++=the
visual ^jj+atrb+++=visual
representation ^nn++++=representation,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
action ^nn++++=action
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
characters ^nns++++=characters
drinking ^vwbg+++xvbg+=drinking
tea ^nn++++=tea
depicted ^vwbn+++xvbn+=depicted
visually ^rb++++=visually
on ^in++++=on
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
page ^nn++++=page.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
explicit ^jj+atrb+++=explicit
reference ^nn++++=reference
to ^in++++=to
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
Emily ^np+++??+=Emily
s ^zz++++=s
tea ^nn++++=tea
set ^vbd+++xvbn+=set
pink ^np++++=pink,
, ^zz++++=EXTRAWORD
a ^at++++=a
colour ^nn++++=colour
traditionally ^rb++++=traditionally
associated ^vbd+++xvbn+=associated
with ^in++++=with
girls ^nns++++=girls
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
( ^zz++++=(
We ^np++++=We
sit ^vb++++=sit
around ^in++++=around
and ^cc++++=and
sip ^vb++++=sip
our ^pp$+pp1+++=our
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
from ^in++++=from
my ^pp$+pp1+++=my
tea ^nn++++=tea
set ^vbd+++xvbn+=set
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
pink ^jj+pred+++=pink,
, ^zz++++=EXTRAWORD
page ^nn++++=page
15 ^cd++++=15)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
visual ^jj+atrb+++=visual
representation ^nn++++=representation.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^to++++=to
van ^&fw++++=van
Leeuwen ^np+++??+=Leeuwen
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
colour ^nn++++=colour
functions ^nns++++=functions
as ^in++++=as
a ^at++++=a
textual ^jj+atrb+++=textual
strategy ^nn++++=strategy
to ^to++++=to
provide ^vbi+vsua+++=provide
cohesion ^nn++++=cohesion
to ^in++++=to
the ^ati++++=the
narrative ^nn++++=narrative
or ^cc++++=or
to ^in++++=to
highlight ^nn++++=highlight
specific ^jj+atrb+++=specific
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
characters ^nns++++=characters.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
pink ^jj+atrb+++=pink
may ^md+pos+++=may
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
stereotypical ^nn+++??+=stereotypical,
, ^zz++++=EXTRAWORD
as ^ql++++=as
pink ^np++++=pink
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
recognised ^vpsv++agls+xvbnx+=recognised
as ^ql++++=as
a ^at++++=a
colour ^nn++++=colour
associated ^vbd+++xvbn+=associated
with ^in++++=with
women ^nns++++=women
and ^cc++++=and
femininity ^nn+++??+=femininity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
traditionally ^rb++splt++=traditionally
used ^vpsv++agls+xvbn+=used
in ^in++++=in
the ^ati++++=the
socialisation ^nn++++=socialisation
of ^in++++=of
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
