Within ^in++++=Within
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
classified ^vbd+++xvbn+=classified
all ^abn++++=all
three ^cd++++=three
sampling ^nn++++=sampling
sites ^nns++++=sites
as ^ql++++=as
having ^jj+atrb++xvbg+=having
excellent ^jj+atrb+++=excellent
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
sampling ^nn++++=sampling
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
2020 ^cd++++=2020
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
visitor ^nn++++=visitor
access ^nn++++=access
was ^vbd+bedz+aux++=was
restricted ^vpsv++agls+xvbnx+=restricted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
the ^ati++++=the
results ^nns++++=results
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
with ^in++++=with
caution ^nn++++=caution.
. ^zz++++=EXTRAWORD
Ongoing ^np+++??+=Ongoing
biomonitoring ^nn+++??+=biomonitoring
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
these ^dt+dem+++=these
conditions ^nns++++=conditions
persist ^vb++++=persist
following ^vbg+++xvbg+=following
the ^ati++++=the
return ^nn++++=return
of ^in++++=of
visitors ^nns++++=visitors,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
at ^in++++=at
sites ^nns++++=sites
P2 ^np+++??+=P2
and ^cc++++=and
P3 ^np+++??+=P3
( ^zz++++=(Gouveia,
gouveia ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
studies ^nns++++=studies
would ^md+prd+++=would
contribute ^vb++++=contribute
to ^to++++=to
identifying ^vbg+++xvbg+=identifying
the ^ati++++=the
factors ^nns++++=factors
that ^tht+rel+++=that
most ^ql+emph+++=most
significantly ^rb++++=significantly
influence ^vb++++=influence
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
the ^ati++++=the
benthic ^nn+++??+=benthic
macrofauna ^nn+++??+=macrofauna
community ^nn++++=community
in ^in++++=in
the ^ati++++=the
cachoeira ^np++++=Cachoeira
do ^vb+do+vrb++=do
para ^nn++++=Para
so ^cs+sub+++=so
waterfall ^nn++++=waterfall.
. ^zz++++=EXTRAWORD
