Similar ^jj++++=Similar
they ^pp3a+pp3+++=they
describe ^vb++++=describe
as ^in++++=as
the ^ati++++=the
Nfre ^np+++??+=NFRE
s ^zz++++=s
deliberately ^rb++++=deliberately
light ^jj+atrb+++=light
touch ^nn++++=touch
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
Humanist ^nn++++=Humanist
Uk ^np++++=UK
has ^vbz+hvz+aux++=has
advocated ^vprf+++xvbnx+=advocated
for ^in++++=for
equal ^jj+atrb+++=equal
treatment ^nn++++=treatment
of ^in++++=of
Humanism ^nn++++=Humanism
and ^cc++++=and
other ^ap++++=other
religions ^nns++++=religions,
, ^zz++++=EXTRAWORD
arguing ^vbg+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
such ^abl++++=such
parity ^nn++++=parity
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
achieved ^vpsv++agls+xvbnx+=achieved
through ^in++++=through
the ^ati++++=the
centralisation ^nn++++=centralisation
of ^in++++=of
the ^ati++++=the
Re ^in++++=RE
syllabus ^nn++++=syllabus
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
a ^at++++=a
National ^jj+atrb+++=National
Framework ^nn++++=Framework
 ^zz++++=(Watson,
Watson ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
007 ^cd++++=2007,
 ^zz++++=EXTRAWORD
P ^zz++++=p.
 ^zz++++=EXTRAWORD
 ^zz++++=2).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
