Maintaining ^vbg+++xvbg+=Maintaining
personal ^jj+atrb+++=personal
care ^nn++++=care
products ^nns++++=products
( ^zz++++=(PPCPs),
ppcps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
conjunction ^nn++++=conjunction
with ^in++++=with
sewage ^nn++++=sewage,
, ^zz++++=EXTRAWORD
industrial ^jj+atrb+++=industrial
waste ^nn++++=waste,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agricultural ^jj+atrb+++=agricultural
runoff ^nn+++??+=runoff,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
exacerbates ^nns+++??+=exacerbates
water ^nn++++=water
contamination ^nn++++=contamination
( ^zz++++=(Khan,
khan ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1977 ^cd+date+++=1977;
; ^zz++++=EXTRAWORD
Liu ^np+++??+=Liu
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
natural ^jj+atrb+++=natural
flow ^nn++++=flow
of ^in++++=of
rivers ^nns++++=rivers
facilitates ^nns+++??+=facilitates
the ^ati++++=the
transport ^nn++++=transport
of ^in++++=of
pollutants ^nns+++??+=pollutants
over ^in++++=over
long ^rb++++=long
distances ^nns++++=distances,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
affecting ^jj+atrb++xvbg+=affecting
environments ^nns++++=environments
far ^rb+pl+++=far
from ^in++++=from
the ^ati++++=the
original ^jj+atrb+++=original
source ^nn++++=source
of ^in++++=of
contamination ^nn++++=contamination
( ^zz++++=(Abessa
abessa ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
