When ^wrb+who+++=When
pursued ^jj+atrb++xvbn+=pursued
accession ^nn++++=accession
to ^in++++=to
the ^ati++++=the
Oecd ^np+++??+=OECD,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
preserved ^jj+atrb++xvbn+=preserved
previous ^jj+atrb+++=previous
levels ^nns++++=levels
of ^in++++=of
South ^nr+pl+++=South-South
- ^zz++++=EXTRAWORD
south ^nr+pl+++=EXTRAWORD
cooperation ^nn++++=cooperation
projects ^nns++++=projects
( ^zz++++=(Marcondes
marcondes ^nns+++??+=EXTRAWORD
& ^zz++++=&
Mawdsley ^np+++??+=Mawdsley,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^to++++=to
what ^wdt+who+++=what
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
termed ^vpsv++agls+xvbnx+=termed
bureaucratic ^jj+atrb+++=bureaucratic
momentum ^nn++++=momentum
( ^zz++++=(Morais
morais ^nns++++=EXTRAWORD
de ^&fw++++=de
sa ^np++++=Sa
e ^zz++++=e
silva ^np++++=Silva,
, ^zz++++=EXTRAWORD
forthcoming ^jj++++=forthcoming).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
