Figure ^nn++++=Figure
, ^zz++++=EXTRAWORD
49 ^cd++++=49,
, ^zz++++=EXTRAWORD
50 ^cd++++=50),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
depression ^nn++++=depression
( ^zz++++=(36
36 ^cd++++=EXTRAWORD
38 ^cd++++=38,
, ^zz++++=EXTRAWORD
40 ^cd++++=40
42 ^cd++++=42,
, ^zz++++=EXTRAWORD
47 ^cd++++=47,
, ^zz++++=EXTRAWORD
49 ^cd++++=49,
, ^zz++++=EXTRAWORD
50 ^cd++++=50),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
stress ^nn++++=stress
( ^zz++++=(37),
37 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mood ^nn++++=mood
( ^zz++++=(46,
46 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
49 ^cd++++=49),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
( ^zz++++=(36,
36 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
49 ^cd++++=49),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
body ^nn++++=body
image ^nn++++=image
( ^zz++++=(36),
36 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sexual ^jj+atrb+++=sexual
function ^nn++++=function
( ^zz++++=(36),
36 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
quality ^nn++++=quality
( ^zz++++=(36,
36 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
41 ^cd++++=41,
, ^zz++++=EXTRAWORD
50 ^cd++++=50),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suffering ^vbg+++xvbg+=suffering
( ^zz++++=(50),
50 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
life ^nn++++=life
satisfaction ^nn++++=satisfaction
( ^zz++++=(40),
40 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
health ^nn++++=health
( ^zz++++=(45),
45 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fear ^nn++++=fear
of ^in++++=of
cancer ^nn++++=cancer
recurrence ^nn++++=recurrence
( ^zz++++=(41).
41 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
