According ^in++++=According
that ^tht+vcmp+++=that
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
are ^vb+ber+aux++=are
influenced ^vpsv++agls+xvbnx+=influenced
primarily ^rb+down+++=primarily
by ^in++++=by
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
climate ^nn++++=climate
[ ^zz++++=[9],
9 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
local ^jj++++=local
social ^jj++++=social
and ^cc++++=and
health ^nn++++=health
practices ^nns++++=practices
[ ^zz++++=[10][11],
10][11 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
comorbidities ^nns+++??+=comorbidities
[ ^zz++++=[12],
12 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
age ^nn++++=age
distribution ^nn++++=distribution
[ ^zz++++=[13],
13 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
variables ^nns++++=variables.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
factors ^nns++++=factors
affecting ^vwbg+++xvbg+=affecting
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
necessitates ^vbz++++=necessitates
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
more ^rbr++++=more
complex ^jj++++=complex
and ^cc+phrs+++=and
realistic ^jj+atrb+++=realistic
computational ^jj+atrb+++=computational
models ^nns++++=models
that ^tht+rel+subj++=that
incorporate ^vb++++=incorporate
specific ^jj+atrb+++=specific
characteristics ^nns++++=characteristics
relevant ^jj++++=relevant
to ^in++++=to
each ^dt++++=each
region ^nn++++=region
under ^in++++=under
study ^nn++++=study,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
relying ^xvbg+++xvbg+=relying
solely ^rb++++=solely
on ^in++++=on
conventional ^jj+atrb+++=conventional
mathematical ^jj+atrb+++=mathematical
models ^nns++++=models.
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
introduces ^vbz++++=introduces
a ^at++++=a
novel ^nn++++=novel
model ^nn++++=model
that ^tht+rel+obj++=that
integrates ^nns+++??+=integrates
local ^jj+atrb+++=local
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
including ^in++++=including
social ^jj++++=social,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
geographical ^jj++++=geographical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climatological ^nn+++??+=climatological
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
the ^ati++++=the
epidemic ^nn++++=epidemic
and ^cc++++=and
its ^pp$+it+++=its
transmission ^nn++++=transmission
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
