Within ^in++++=Within
due ^jj++++=due
to ^to+jcmp+++=to
fear ^vbi++++=fear,
, ^zz++++=EXTRAWORD
withdraw ^vb++++=withdraw
from ^in++++=from
positions ^nns++++=positions
and ^cc++++=and
institutions ^nns++++=institutions
where ^wrb+who+++=where
dismantling ^nn++++=dismantling
is ^vbz+bez+aux++=is
occurring ^vbg+++xvbgx+=occurring,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
indirectly ^rb++++=indirectly
facilitating ^vbg+++xvbg+=facilitating
further ^jjb+atrb+++=further
policy ^nn++++=policy
dismantling ^nn++++=dismantling
by ^in++++=by
default ^nn+++??+=default.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
latter ^ap++++=latter
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
the ^ati++++=the
state ^nn++++=state
is ^vbz+bez+aux++=is
left ^vpsv++agls+xvbnx+=left
with ^in++++=with
both ^abx++++=both
dismantled ^jj+atrb++xvbn+=dismantled
policies ^nns++++=policies
and ^cc++++=and
diminished ^vbd+++xvbn+=diminished
state ^nn++++=state
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
s ^zz++++=s
federal ^jj+atrb+++=federal
administration ^nn++++=administration
is ^vbz+bez+vrb++=is
characterized ^nn+++??+=characterized
by ^in++++=by
a ^at++++=a
professionalized ^nn+++??+=professionalized
civil ^jj+atrb+++=civil
service ^nn++++=service.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Foreign ^jj+atrb+++=Foreign
Affairs ^nns++++=Affairs,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
structured ^nn+++??+=structured
and ^cc++++=and
well ^rb++++=well-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
bureaucracy ^nn++++=bureaucracy,
, ^zz++++=EXTRAWORD
with ^in++++=with
personnel ^nns++++=personnel
selected ^vwbn+++xvbn+=selected
through ^in++++=through
open ^jj+atrb+++=open
public ^jj+atrb+++=public
examinations ^nns++++=examinations
since ^in++++=since
the ^ati++++=the
1940s ^cd+date+++=1940s.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
1988 ^cd+date+++=1988
Constitution ^nn++++=Constitution,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
entrance ^nn++++=entrance
exams ^nns++++=exams
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
mandatory ^jj++++=mandatory
for ^in++++=for
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
all ^abn++++=all
tenure ^nn++++=tenure-track
- ^zz++++=EXTRAWORD
track ^nn++++=EXTRAWORD
federal ^jj+atrb+++=federal
employees ^nns++++=employees.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
several ^ap++++=several
new ^jj+atrb+++=new
and ^cc+phrs+++=and
specialized ^jj+atrb++xvbn+=specialized
career ^nn++++=career
tracks ^nns++++=tracks
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
created ^vpsv++agls+xvbnx+=created,
, ^zz++++=EXTRAWORD
including ^in++++=including
Specialist ^nn++++=Specialist
in ^in++++=in
Public ^jj+atrb+++=Public
Policy ^nn++++=Policy
and ^cc++++=and
Management ^nn++++=Management
( ^zz++++=(EPPGG),
eppgg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Planning ^nvbg+++xvbg+=Planning
and ^cc++++=and
Budget ^nn++++=Budget
Analyst ^np+++??+=Analyst
( ^zz++++=(APO),
apo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Foreign ^jj+atrb+++=Foreign
Trade ^nn++++=Trade
Specialist ^jj++++=Specialist
( ^zz++++=(ACE),
ace ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Infrastructure ^np+++??+=Infrastructure
Analyst ^np+++??+=Analyst,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Technical ^jj+atrb+++=Technical
Social ^jj+atrb+++=Social
Policy ^nn++++=Policy
Analyst ^np+++??+=Analyst
( ^zz++++=(ATPS),
atps ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
from ^in++++=from
Ipea ^np+++??+=IPEA
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicate ^vb+vprv+++=indicate
significant ^jj+atrb+++=significant
growth ^nn++++=growth
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
federal ^jj+atrb+++=federal
positions ^nns++++=positions
in ^in++++=in
the ^ati++++=the
executive ^nn++++=executive
branch ^nn++++=branch,
, ^zz++++=EXTRAWORD
increasing ^jj+++xvbg+=increasing
from ^in++++=from
approximately ^rb+down+++=approximately
5 ^zz++++=5
million ^cd++++=million
in ^in++++=in
1986 ^cd+date+++=1986
to ^in++++=to
just ^rb+emph+++=just
over ^in++++=over
10 ^cd++++=10
million ^cd++++=million
in ^in++++=in
2018 ^cd++++=2018.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
civil ^jj+atrb+++=civil
service ^nn++++=service
positions ^nns++++=positions
suggests ^vbz+vpub+++=suggests
a ^at++++=a
large ^jj+atrb+++=large
state ^nn++++=state
apparatus ^nn++++=apparatus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
the ^ati++++=the
civil ^jj+atrb+++=civil
service ^nn++++=service
at ^rb++++=at
all ^abn++++=all
levels ^nns++++=levels
( ^zz++++=(federal,
federal ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
state ^nn++++=state,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
municipal ^jj++++=municipal)
) ^zz++++=EXTRAWORD
and ^cc++++=and
across ^in+pl+++=across
all ^abn++++=all
branches ^nns++++=branches
( ^zz++++=(executive,
executive ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
legislative ^jj++++=legislative,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
judiciary ^nn++++=judiciary)
) ^zz++++=EXTRAWORD
increased ^vpsv++by+xvbn+=increased
by ^in++++=by
only ^rb+down+++=only
1 ^zz++++=1
percentage ^nn++++=percentage
point ^nn++++=point
from ^in++++=from
2004 ^cd++++=2004
to ^to++++=to
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
from ^in++++=from
9.6 ^cd++++=9.6%
% ^zz++++=EXTRAWORD
to ^to++++=to
10.5 ^cd++++=10.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
s ^zz++++=s
gdp ^np++++=GDP.
. ^zz++++=EXTRAWORD
