Of ^in+emph+++=Of
and ^cc+cls+++=and
address ^nns+nom+++=address
the ^ati++++=the
unequal ^jj+atrb+++=unequal
distribution ^nn+nom+++=distribution
of ^in++++=of
ill ^jj++++=ill-health
- ^zz++++=EXTRAWORD
health ^nn++++=EXTRAWORD
that ^tht+rel+++=that
motivate ^nn+nom+++=motivate
this ^dt+dem+++=this
work ^nn++++=work.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
as ^ql++++=as
notions ^nns+nom+++=notions
of ^in++++=of
genetic ^jj+atrb+++=genetic
race ^nn++++=race
are ^vb+ber+vrb++=are
in ^in++++=in
some ^dti++++=some
quarters ^nns+nom+++=quarters
challenged ^vwbn+++xvbn+=challenged
by ^in++++=by
epigenetic ^nn++++=epigenetic
and ^cc++++=and
developmentally ^rb++++=developmentally-grounded
- ^zz++++=EXTRAWORD
grounded ^jj+atrb++xvbn+=EXTRAWORD
frameworks ^nns++++=frameworks,
, ^zz++++=EXTRAWORD
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
conventions ^nns+nom+++=conventions
of ^in++++=of
biomedical ^jj+atrb+++=biomedical
research ^nn++++=research
may ^md+pos+++=may
create ^vb++++=create
openings ^nns++++=openings
to ^to++++=to
unwittingly ^rb++splt++=unwittingly
recapitulate ^nn+nom+++=recapitulate
typological ^jj+atrb+++=typological
and ^cc+phrs+++=and
essentialized ^jj+++xvbn+=essentialized
thinking ^jj+++xvbg+=thinking
( ^zz++++=(Mansfield
mansfield ^np++++=EXTRAWORD
& ^zz++++=&
Guthman ^np+++??+=Guthman,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
Roberts ^np++++=Roberts,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
to ^to++++=to
put ^vbi++++=put
our ^pp$+pp1+++=our
argument ^nn+nom+++=argument
in ^in++++=in
different ^jj+atrb+++=different
terms ^nns++++=terms:
: ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
challenge ^nn++++=challenge
to ^in++++=to
genetic ^jj+atrb+++=genetic
determinism ^nn+nom+++=determinism
advanced ^vwbn+++xvbn+=advanced
by ^in++++=by
postgenomic ^jj+atrb+++=postgenomic
research ^nn++++=research
in ^in++++=in
areas ^nns++++=areas
such ^abl++++=such
as ^ql++++=as
epigenetics ^nns++++=epigenetics
or ^cc++++=or
microbiomics ^nns++++=microbiomics
reveals ^nns+nom+++=reveals
newly ^rb++++=newly-appreciated
- ^zz++++=EXTRAWORD
appreciated ^vbd+vprv++xvbn+=EXTRAWORD
biological ^jj++++=biological
pathways ^rb++++=pathways
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
sensitive ^jj+pred+++=sensitive
to ^in++++=to
environments ^nns+nom+++=environments
and ^cc++++=and
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
we ^pp1a+pp1+++=we
anticipate ^nn+nom+++=anticipate
the ^ati++++=the
re ^in++++=re-inscription
- ^zz++++=EXTRAWORD
inscription ^nn+nom+++=EXTRAWORD
of ^in++++=of
pre ^nn+++??+=pre-modern
- ^zz++++=EXTRAWORD
modern ^jj+atrb+++=EXTRAWORD
ideas ^nns++++=ideas
of ^in++++=of
environmentally ^rb++++=environmentally-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
human ^jj+atrb+++=human
difference ^nn+nom+++=difference
at ^in++++=at
a ^at++++=a
molecular ^jj+atrb+++=molecular
level ^nn++++=level?
? ^zz++++=EXTRAWORD
To ^in++++=To
answer ^nn++++=answer
this ^dt+dem+++=this
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
out ^rb+phrv+++=out
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
findings ^nns++++=findings
in ^in++++=in
Dohad ^np+++??+=DOHaD
and ^cc++++=and
environmental ^jj+atrb+++=environmental
epigenetics ^nns++++=epigenetics
that ^tht+rel+obj++=that
address ^nns+nom+++=address
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
race ^nn++++=race/ethnicity
in ^in++++=in
human ^jj+atrb+++=human
health ^nn++++=health.
. ^zz++++=EXTRAWORD
