Sex ^nn++++=Sex
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
wasting ^xvbg+++xvbg+=wasting
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
in ^in++++=in
girls ^nns++++=girls
than ^in++++=than
boys ^nns++++=boys
at ^rb++++=at
0 ^zz++++=0
2 ^zz++++=2
months ^nns++++=months
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
consistent ^jj+pred+++=consistent
with ^in++++=with
the ^ati++++=the
2016 ^cd++++=2016
Nepal ^np++++=Nepal
Dhs ^np+++??+=DHS
survey ^nn++++=survey.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
general ^nn++++=general
across ^in+pl+++=across
the ^ati++++=the
world ^nn++++=world
boys ^nns++++=boys
have ^vb+hv+vrb++=have
higher ^jjr+atrb+++=higher
prevalence ^nn+++??+=prevalence
of ^in++++=of
wasting ^xvbg+++xvbg+=wasting
( ^zz++++=(Thurstans
thurstans ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
heterogeneous ^jj+atrb+++=heterogeneous
findings ^nns++++=findings
across ^in+pl+++=across
studies ^nns++++=studies
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
complex ^jj+atrb+++=complex
associations ^nns++++=associations
between ^in++++=between
stunting ^nn+++??+=stunting
and ^cc++++=and
wasting ^vbg+++xvbg+=wasting,
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
age ^nn++++=age
ranges ^vbz++++=ranges
addressed ^vpsv++by+xvbn+=addressed
by ^in++++=by
individual ^jj+atrb+++=individual
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
variable ^jj+atrb+++=variable
cultural ^jj+atrb+++=cultural
factors ^nns++++=factors
relevant ^jj++++=relevant
to ^in++++=to
the ^ati++++=the
feeding ^jj+++xvbg+=feeding
of ^in++++=of
boys ^nns++++=boys
and ^cc++++=and
girls ^nns++++=girls
( ^zz++++=(Thurstans
thurstans ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
tendency ^nn++++=tendency
of ^in++++=of
wasted ^vbd+++xvbn+=wasted
children ^nns++++=children
to ^to++++=to
resolve ^vbi++++=resolve
their ^pp$+pp3+++=their
thinness ^nn++++=thinness
by ^in++++=by
subsequently ^rb+tm+++=subsequently
slowing ^vbg+++xvbg+=slowing
their ^pp$+pp3+++=their
linear ^jj+atrb+++=linear
growth ^nn++++=growth
was ^vbd+bedz+aux++=was
recently ^rb+tm+splt++=recently
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
longitudinal ^jj+atrb+++=longitudinal
analysis ^nn++++=analysis
of ^in++++=of
Gambian ^np+++??+=Gambian
infants ^nns++++=infants
( ^zz++++=(Schoenbuchner
schoenbuchner ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
