Furthermore ^rb+cnj+++=Furthermore,
to ^to+vcmp+++=to
be ^vbi++vrb++=be
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
rarity ^nn++++=rarity
giving ^vwbg+++xvbg+=giving
them ^pp3o+pp3+++=them
a ^at++++=a
negative ^jj+atrb+++=negative
frequency ^nn++++=frequency
dependent ^jj+atrb+++=dependent
advantage ^nn++++=advantage.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
few ^ap++++=few
studies ^nns++++=studies
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
this ^dt+pdem+++=this
directly ^rb+cnj+++=directly,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
open ^jj++++=open
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
other ^ap++++=other
explanations ^nns++++=explanations.
. ^zz++++=EXTRAWORD
Testosterone ^np+++??+=Testosterone
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
linked ^vpsv++agls+xvbnx+=linked
with ^in++++=with
aggression ^nn++++=aggression
( ^zz++++=(though
though ^cs+sub+++=EXTRAWORD
correlations ^nns++++=correlations
are ^vb+ber+vrb++=are
often ^rb++++=often
smaller ^jjr+pred+++=smaller
than ^in++++=than
assumed ^vbd+vprv++xvbn+=assumed,
, ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
Geniole ^np+++??+=Geniole
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=),
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
whether ^cs+who+++=whether
adult ^jj+atrb+++=adult
levels ^nns++++=levels
of ^in++++=of
testosterone ^nn+++??+=testosterone
are ^vb+ber+vrb++=are
responsible ^jj+pred+++=responsible
for ^in++++=for
increased ^jj+atrb++xvbn+=increased
aggression ^nn++++=aggression
among ^in++++=among
leftand ^nn+++??+=leftand
mixed ^vbd+++xvbn+=mixed-handers.
- ^zz++++=EXTRAWORD
handers ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
understanding ^nvbg+++xvbg+=understanding
how ^wrb+who+++=how
adult ^nn++++=adult
hormone ^nn+++??+=hormone
levels ^nns++++=levels
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
handedness ^nns+++??+=handedness
may ^md+pos+++=may
shed ^vprf+++xvbn+=shed
light ^jj++++=light
on ^in++++=on
diverse ^jj+atrb+++=diverse
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
