Key ^jjb++++=Key
Urlacher ^np++++=Urlacher
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016
, ^zz++++=,
Wells ^np++++=Wells
& ^zz++++=&
Cortina ^np+++??+=Cortina-Borja
- ^zz++++=EXTRAWORD
borja ^nn+++??+=EXTRAWORD
2013 ^cd++++=2013
, ^zz++++=,
West ^nr+pl+++=West-Eberhard
- ^zz++++=EXTRAWORD
eberhard ^nn+++??+=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Obesity ^np+++??+=Obesity
is ^vbz+bez+aux++=is
therefore ^rb+cnj+splt++=therefore
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
biotic ^nn+++??+=biotic
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
exposure ^nn++++=exposure
to ^in++++=to
parasites ^nns++++=parasites
and ^cc++++=and
microbiome ^jj+atrb++??+=microbiome
regulation ^nn++++=regulation
( ^zz++++=(
Tilg ^np++++=Tilg
& ^zz++++=&
Kaser ^np+++??+=Kaser
2011 ^cd++++=2011
) ^zz++++=)
and ^cc++++=and
also ^rb++++=also
interacts ^nns+++??+=interacts
with ^in++++=with
other ^ap++++=other
biotic ^nn+++??+=biotic
factors ^nns++++=factors
to ^in++++=to
influence ^nn++++=influence
disease ^nn++++=disease
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
severity ^nn++++=severity
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
an ^at++++=an
interaction ^nn++++=interaction
among ^in++++=among
obesity ^nn++++=obesity,
, ^zz++++=EXTRAWORD
past ^jjb+atrb+++=past
infection ^nn++++=infection
exposure ^nn++++=exposure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
current ^jj+atrb+++=current
coinfection ^nn+++??+=coinfection
with ^in++++=with
helminths ^nns+++??+=helminths
and ^cc++++=and
commensals ^nns+++??+=commensals
( ^zz++++=(see
see ^vb+vprv+tht0++=EXTRAWORD
the ^ati++++=the
sidebar ^nn+++??+=sidebar
titled ^vbd+++xvbn+=titled
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Hygiene ^nn++++=Hygiene
And ^cc++++=and
Old ^jj+atrb+++=Old
Friends ^nns++++=Friends
Hypotheses ^nns++++=Hypotheses;
 ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
 ^zz++++=4
	 ^zz++++=).
 ^zz++++=EXTRAWORD
