Additionally ^np+++??+=Additionally,
often ^rb++++=often
aiming ^vbg+++xvbg+=aiming
for ^in++++=for
spring ^nn++++=spring
( ^zz++++=(R
r ^zz++++=EXTRAWORD
gnier ^jjr++++=gnier-Loilier
- ^zz++++=EXTRAWORD
loilier ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Wiles ^np+++??+=Wiles-Portier,
- ^zz++++=EXTRAWORD
portier ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
higher ^jjr+atrb+++=higher
educated ^jj+atrb++xvbn+=educated
women ^nns++++=women
more ^rbr++++=more
willing ^jj++++=willing
to ^to+jcmp+++=to
give ^vbi++++=give
birth ^nn++++=birth
in ^in++++=in
spring ^nn++++=spring
and ^cc++++=and
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year?
? ^zz++++=EXTRAWORD
In ^in++++=In
United ^np++++=United
States ^nns++++=States
more ^ql++++=more
educated ^jj+atrb++xvbn+=educated
women ^nns++++=women
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
choose ^vbi++++=choose
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
good ^jj+atrb+++=good
season ^nn++++=season
births ^nns++++=births
( ^zz++++=(2nd
2nd ^cd++++=EXTRAWORD
and ^cc++++=and
3rd ^cd++++=3rd
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
year ^nn++++=year)
) ^zz++++=EXTRAWORD
( ^zz++++=(Clarke
clarke ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Japan ^np++++=Japan
more ^rbr++++=more
than ^in++++=than
1800 ^cd+date+++=1800
births ^nns++++=births
per ^in++++=per
year ^nn++++=year
are ^vb+ber+aux++=are
delayed ^vpsv++by+xvbnx+=delayed
by ^in++++=by
about ^in++++=about
1 ^zz++++=1
week ^nn++++=week
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
occur ^vb++++=occur
after ^in++++=after
the ^ati++++=the
school ^nn++++=school
cutoff ^nn+++??+=cutoff
date ^nn++++=date,
, ^zz++++=EXTRAWORD
by ^in++++=by
means ^in"++++=means
of ^in"++++=of
postponed ^vwbn+++xvbn+=postponed
caesarean ^jj+atrb+++=caesarean
sections ^nns+nom+++=sections,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
by ^in++++=by
highly ^rb+amp+++=highly
educated ^xvbn+++xvbn+=educated
mothers ^nns+nom+++=mothers
and ^cc++++=and
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
that ^tht+vcmp+++=that
parents ^nns++++=parents
who ^whp+rel+obj++=who
value ^nn++++=value
potential ^jj++++=potential
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
academic ^jj++++=academic
gains ^vbz++++=gains
over ^in++++=over
the ^ati++++=the
short ^jj++++=short-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
gain ^nn++++=gain
of ^in++++=of
childcare ^nn+++??+=childcare
cost ^nn++++=cost
savings ^nns++++=savings
do ^vb+do+aux++=do
exploit ^vb++++=exploit
birth ^nn++++=birth
timing ^nn++++=timing
as ^ql++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
early ^jj+atrb+++=early
childhood ^nn+nom+++=childhood
investment ^nn+nom+++=investment
( ^zz++++=(Shigeoka,
shigeoka ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
birth ^nn++++=birth
seasonality ^nn+nom+++=seasonality
in ^in++++=in
Sweden ^np++++=Sweden
among ^in++++=among
couples ^nns++++=couples
with ^in++++=with
normal ^jj+atrb+++=normal
fecundity ^nn+nom+++=fecundity
are ^vb+ber+vrb++=are
what ^wdt+who+++=what
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
if ^cs+cnd+++=if
couples ^nns++++=couples
actively ^rb++++=actively
plan ^vb++++=plan
their ^pp$+pp3+++=their
births ^nns++++=births
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
date ^nn++++=date
for ^in++++=for
Swedish ^jj+atrb+++=Swedish
pupils ^nns++++=pupils'
' ^zz++++=EXTRAWORD
school ^nn++++=school
entry ^nn++++=entry
( ^zz++++=(Dahlberg
dahlberg ^nn+++??+=EXTRAWORD
& ^zz++++=&
Andersson ^np+++??+=Andersson,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
women ^nns++++=women
with ^in++++=with
certain ^jj+atrb+++=certain
occupations ^nns+nom+++=occupations
more ^rbr++++=more
willing ^jj++++=willing
to ^to+jcmp+++=to
plan ^vb++++=plan
their ^pp$+pp3+++=their
births ^nns++++=births
to ^to++++=to
happen ^vbi+v+++=happen
during ^in++++=during
the ^ati++++=the
spring ^nn++++=spring?
? ^zz++++=EXTRAWORD
In ^in++++=In
France ^np++++=France
and ^cc++++=and
Us ^pp1o+pp1+++=US
different ^jj+atrb+++=different
mother ^nn++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
occupational ^jj+atrb+++=occupational
categories ^nns++++=categories
showed ^vbd+vprv++xvbn+=showed
clear ^jj+atrb+++=clear
different ^jj+atrb+++=different
seasonal ^jj+atrb+++=seasonal
patterns ^nns++++=patterns
( ^zz++++=(Clarke
clarke ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
R ^zz++++=R
gnier ^jjr++++=gnier-Loilier
- ^zz++++=EXTRAWORD
loilier ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Wiles ^np+++??+=Wiles-Portier,
- ^zz++++=EXTRAWORD
portier ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
contraception ^nn+nom+++=contraception
varies ^vbz++++=varies
with ^in++++=with
sociodemographic ^jj+atrb+++=sociodemographic
factors ^nns++++=factors
and ^cc++++=and
is ^vbz+bez+vrb++=is
more ^rbr++++=more
common ^jj+pred+++=common
among ^in++++=among
more ^rbr++++=more
highly ^rb+amp+++=highly
educated ^xvbn+++xvbn+=educated
women ^nns++++=women
and ^cc++++=and
with ^in++++=with
children ^nns++++=children
( ^zz++++=(Spinelli
spinelli ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
) ^zz++++=)
and ^cc++++=and
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
women ^nns++++=women
with ^in++++=with
previous ^jj+atrb+++=previous
births ^nns++++=births
are ^vb+ber+aux++=are
equipped ^vpsv++agls+xvbnx+=equipped
with ^in++++=with
better ^jjr++++=better
understanding ^jj+++xvbg+=understanding
of ^in++++=of
their ^pp$+pp3+++=their
fecundity ^nn+nom+++=fecundity
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
better ^jjr++++=better
able ^jj++++=able
to ^to+jcmp+++=to
plan ^vb++++=plan
their ^pp$+pp3+++=their
next ^ap++++=next
birth ^nn++++=birth
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
occur ^vb++++=occur
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
( ^zz++++=(Dahlberg
dahlberg ^nn++++=EXTRAWORD
& ^zz++++=&
andersson ^np++++=Andersson,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
