Many ^ap++++=Many
sensitivity ^nn+nom+++=sensitivity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+vrb++=be
particularly ^rb++++=particularly
detrimental ^jj+pred+++=detrimental
to ^in++++=to
measures ^nns++++=measures
of ^in++++=of
low ^jj++++=low-concentration
- ^zz++++=EXTRAWORD
concentration ^nn+nom+++=EXTRAWORD
analytes ^nns+++??+=analytes
such ^abl++++=such
as ^ql++++=as
cytokines ^nns+++??+=cytokines.
. ^zz++++=EXTRAWORD
Point ^nn++++=Point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
devices ^nns++++=devices
are ^vb+ber+vrb++=are
often ^rb++++=often
the ^ati++++=the
most ^ql+emph+++=most
convenient ^jj++++=convenient
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
require ^vb+vsua+++=require
no ^at++++=no
sample ^nn++++=sample
transport ^nn++++=transport.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
sensitive ^jj+atrb+++=sensitive
point ^nn++++=point-of-care
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
devices ^nns++++=devices
are ^vb+ber+vrb++=are
only ^rb+down+++=only
available ^jj+pred+++=available
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
measures ^nns++++=measures,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
many ^ap++++=many
more ^ql++++=more
will ^md+prd+++=will
likely ^jj++++=likely
become ^vb++++=become
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
relatively ^rb++++=relatively
near ^in+pl+++=near
future ^nn++++=future.
. ^zz++++=EXTRAWORD
