Both ^abx++++=Both
information ^nn+nom+++=information
on ^in++++=on
birth ^nn++++=birth
size ^nn++++=size.
. ^zz++++=EXTRAWORD
Shoulder ^nn+nom+++=Shoulder
dystocia ^nn+++??+=dystocia
is ^vbz+bez+vrb++=is
a ^at++++=a
common ^jj+atrb+++=common
cause ^nn++++=cause
of ^in++++=of
childbirth ^nn++++=childbirth
complications ^nns+nom+++=complications
( ^zz++++=(Ezegwui
ezegwui ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Ju ^np+++??+=Ju
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
male ^jj+atrb+++=male
neonates ^nns+nom+++=neonates
have ^vb+hv+vrb++=have
wider ^jjr+atrb+++=wider
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
are ^vb+ber+vrb++=are
more ^rbr++++=more
prone ^jj+pred+++=prone
to ^to+jcmp+++=to
obstructed ^vbi++++=obstructed
labor ^nn++++=labor
than ^in++++=than
females ^nns++++=females,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
length ^rb++++=length
and ^cc++++=and
head ^jjb+atrb+++=head
circumference ^nn+nom+++=circumference
are ^vb+ber+aux++=are
taken ^vpsv++agls+xvbn+=taken
into ^in++++=into
account ^nn++++=account.
. ^zz++++=EXTRAWORD
