Like ^in++++=Like
and ^cc+phrs+++=and
experienced ^vpsv++agls+xvbn+=experienced
on ^in++++=on
a ^at++++=a
quotidian ^nn+++??+=quotidian
basis ^nn++++=basis
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
same ^ap++++=same
concept ^nn++++=concept
articulated ^nn+++??+=articulated
by ^in++++=by
Gosden ^np+++??+=Gosden
& ^zz++++=&
Malafouris ^np+++??+=Malafouris
flow ^nn++++=flow
can ^md+pos+++=can
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
in ^in++++=in
the ^ati++++=the
sense ^nn++++=sense
of ^in++++=of
Csikszentmihalyi ^np+++??+=Csikszentmihalyi
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
describe ^vbi++++=describe
the ^ati++++=the
experience ^nn++++=experience
of ^in++++=of
psychological ^jj+atrb+++=psychological
fulfillment ^nn+++??+=fulfillment
through ^in++++=through
the ^ati++++=the
mastery ^nn++++=mastery
of ^in++++=of
a ^at++++=a
complex ^jj+atrb+++=complex
series ^nn++++=series
of ^in++++=of
instructions ^nns++++=instructions
undertaken ^vwbn+++xvbn+=undertaken
under ^in++++=under
restraint ^nn++++=restraint
conditions ^nns++++=conditions
and ^cc++++=and
applied ^vpsv++agls+xvbn+=applied
to ^in++++=to
the ^ati++++=the
individual ^jj+atrb+++=individual
affective ^nn+++??+=affective
experience ^nn++++=experience
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
at ^rb++++=at
all ^abn++++=all
socioeconomic ^nn++++=socioeconomic
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
