On ^in++++=On
also ^rb++++=also
cultural ^jj+atrb+++=cultural
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
indexed ^xvbn+++xvbn+=indexed
by ^in++++=by
concerns ^nns++++=concerns
about ^in++++=about
modern ^jj+atrb+++=modern
industrial ^jj+atrb+++=industrial
society ^nn++++=society
and ^cc++++=and
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
visualize ^vbi++++=visualize
the ^ati++++=the
American ^jj+atrb+++=American
nation ^nn++++=nation
( ^zz++++=(
Igo ^np++++=Igo
2007 ^cd++++=2007
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
10 ^cd++++=10)
) ^zz++++=EXTRAWORD
or ^cc++++=or
Europe ^np++++=Europe
( ^zz++++=(
Kropp ^np++++=Kropp
2023 ^cd++++=2023
) ^zz++++=)
as ^ql++++=as
a ^at++++=a
whole ^nn++++=whole.
. ^zz++++=EXTRAWORD
The ^ati++++=The
types ^nns++++=types
of ^in++++=of
issues ^nn++++=issues
surveyed ^vwbn+++xvbn+=surveyed
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
[ ^zz++++=[r]outine
r]outine ^nn+++??+=EXTRAWORD
habits ^nns++++=habits
to ^in++++=to
social ^jj+atrb+++=social
and ^cc+phrs+++=and
political ^jj+atrb+++=political
attitudes ^nns++++=attitudes
to ^in++++=to
the ^ati++++=the
most ^ql+emph+++=most
intimate ^jj+atrb+++=intimate
areas ^nns++++=areas
of ^in++++=of
personal ^jj+atrb+++=personal
experience ^nn++++=experience
( ^zz++++=(
Igo ^np++++=Igo
2007 ^cd++++=2007
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
11 ^cd++++=11).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
social ^jj+atrb+++=social
scientific ^jj+atrb+++=scientific
inquiries ^nns++++=inquiries
inaugurated ^vwbn+++xvbn+=inaugurated
statistical ^jj++++=statistical
thinking ^jj+++xvbg+=thinking
in ^in++++=in
society ^nn++++=society
and ^cc++++=and
citizen ^nn++++=citizen
encounters ^nns++++=encounters
with ^in++++=with
these ^dt+dem+++=these
social ^jj+atrb+++=social
data ^nns++++=data
provided ^vbd+++xvbn+=provided
ways ^nns++++=ways
of ^in++++=of
seeing ^xvbg+++xvbg+=seeing,
, ^zz++++=EXTRAWORD
perceiving ^nn++++=perceiving
and ^cc++++=and
imagining ^vbg+vprv++xvbg+=imagining
its ^pp$+it+++=its
human ^jj+atrb+++=human
counterpart ^nn++++=counterpart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj++++=average
American ^jj++++=American
( ^zz++++=(
Porter ^np++++=Porter
1995 ^cd+date+++=1995
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
18 ^cd++++=18)
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
European ^jj+atrb+++=European
citizen ^nn++++=citizen.
. ^zz++++=EXTRAWORD
A ^at++++=A
qualitative ^jj+atrb+++=qualitative
British ^jj+atrb+++=British
equivalent ^nn++++=equivalent,
, ^zz++++=EXTRAWORD
also ^rb++++=also
focused ^vbd+++xvbn+=focused
on ^in++++=on
getting ^xvbg+++xvbg+=getting
a ^at++++=a
view ^nn++++=view
on ^in++++=on
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
own ^ap++++=own
society ^nn++++=society,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Mass ^nn++++=Mass
Observation ^nn++++=Observation
of ^in++++=of
everyday ^jjb+atrb+++=everyday
life ^nn++++=life
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
place ^nn++++=place
from ^in++++=from
1937 ^cd+date+++=1937
to ^to++++=to
1949 ^cd+date+++=1949
( ^zz++++=(
hubble ^np++++=Hubble
2006 ^cd++++=2006
) ^zz++++=).
. ^zz++++=EXTRAWORD
