Confirmatory ^np+++??+=Confirmatory
- ^zz++++=EXTRAWORD
lewis ^np++++=EXTRAWORD
Index ^nn++++=Index
( ^zz++++=(TLI)
tli ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.96 ^nn+++??+=0.96
( ^zz++++=(acceptable
acceptable ^jj+atrb+++=EXTRAWORD
values ^nns++++=values
close ^jj++++=close
to ^to++++=to
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Comparative ^jj+atrb+++=Comparative
Fit ^jj+atrb+++=Fit
Index ^nn++++=Index
( ^zz++++=(CFI)
cfi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.93 ^nn+++??+=0.93
( ^zz++++=(acceptable
acceptable ^jj+atrb+++=EXTRAWORD
0.90 ^nn+++??+=0.90),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Root ^nn++++=Root
Mean ^jj+atrb+++=Mean
Square ^nn++++=Square
Error ^nn++++=Error
of ^in++++=of
Approximation ^nn+nom+++=Approximation
( ^zz++++=(RMSEA)
rmsea ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.041 ^nn+++??+=0.041
( ^zz++++=(90%
90 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
0.034 ^nn+++??+=0.034
0.062 ^nn+++??+=0.062;
; ^zz++++=EXTRAWORD
acceptable ^jj+atrb+++=acceptable
0.08 ^nn+++??+=0.08).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
factor ^nn++++=factor
loadings ^nns++++=loadings
were ^vbd+bed+vrb++=were
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
( ^zz++++=(t
t ^zz++++=EXTRAWORD
> ^zz++++=>
1.96 ^cd++++=1.96,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.05 ^nn+++??+=0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
acceptance ^nn+nom+++=acceptance
thresholds ^nns+++??+=thresholds
for ^in++++=for
these ^dt+dem+++=these
indices ^nns++++=indices
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
the ^ati++++=the
criteria ^nns++++=criteria
established ^vwbn+++xvbn+=established
by ^in++++=by
Hair ^nn++++=Hair
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hatcher ^np+++??+=Hatcher
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hu ^np+++??+=Hu
& ^zz++++=&
Bentler ^np+++??+=Bentler
( ^zz++++=(1999),
1999 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bowling ^np+nom++xvbg+=Bowling
( ^zz++++=(2005).
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Items ^nns++++=Items
for ^in++++=for
the ^ati++++=the
five ^cd++++=five
factors ^nns++++=factors
demonstrated ^vbd+vprv++xvbn+=demonstrated
significant ^jj+atrb+++=significant
loadings ^nns++++=loadings,
, ^zz++++=EXTRAWORD
with ^in++++=with
values ^nns++++=values
equal ^jj++++=equal
to ^to++++=to
or ^cc++++=or
greater ^jjr++++=greater
than ^in++++=than
0.60 ^nn+++??+=0.60,
, ^zz++++=EXTRAWORD
meeting ^nvbg+++xvbg+=meeting
the ^ati++++=the
content ^jj+atrb+++=content
validity ^nn+nom+++=validity
requirements ^nns+nom+++=requirements
as ^in++++=as
outlined ^nn++++=outlined
by ^in++++=by
Nunnally ^np+++??+=Nunnally
( ^zz++++=(1978),
1978 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stipulate ^nn+nom+++=stipulate
that ^cs+sub+++=that
items ^vbz++++=items
should ^md+nec+++=should
load ^vb++++=load
on ^in++++=on
a ^at++++=a
single ^nn++++=single
construct ^vb++++=construct.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
fit ^jj+atrb+++=fit
indices ^nns++++=indices
and ^cc++++=and
content ^jj+atrb+++=content
validity ^nn+nom+++=validity
were ^vbd+bed+aux++=were
further ^jjb+pred+++=further
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
significant ^jj+atrb+++=significant
correlations ^nns+nom+++=correlations
among ^in++++=among
items ^nns++++=items
in ^in++++=in
the ^ati++++=the
factor ^nn++++=factor
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
Pearson ^np++++=Pearson
correlation ^nn+nom+++=correlation
and ^cc++++=and
corrected ^vwbn+++xvbn+=corrected
item ^nn++++=item-total
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
correlation ^nn+nom+++=correlation
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
confirming ^vbg+vpub++xvbg+=confirming
the ^ati++++=the
content ^jj+atrb+++=content
validity ^nn+nom+++=validity
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
matrix ^nn++++=matrix
demonstrated ^vbd+vprv++xvbn+=demonstrated
good ^jj+atrb+++=good
adequacy ^nn+nom+++=adequacy
for ^in++++=for
factor ^nn++++=factor
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
with ^in++++=with
observed ^jj+atrb++xvbn+=observed
communalities ^nns+nom+++=communalities
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
0.61 ^nn+++??+=0.61
to ^in++++=to
0.89 ^nn+++??+=0.89;
; ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
communality ^nn+nom+++=communality
( ^zz++++=(0.89)
0.89 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
item ^nn++++=item
8 ^zz++++=8
( ^zz++++=("Taking
" ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
selfie ^nn+++??+=selfie
in ^in++++=in
different ^jj+atrb+++=different
poses ^nns++++=poses
increases ^vbz++++=increases
my ^pp$+pp1+++=my
social ^jj+atrb+++=social
status" ^nn+++??+=status"),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
89 ^cd++++=89%
% ^zz++++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
variance ^nn+nom+++=variance
was ^vbd+bedz+aux++=was
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
the ^ati++++=the
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
High ^jj+atrb+++=High
communalities ^nns+nom+++=communalities
( ^zz++++=(
0.5 ^nn+++??+=0.5)
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
principal ^jjb+atrb+++=principal
components ^nns++++=components
method ^nn++++=method
extracted ^vwbn+++xvbn+=extracted
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn+nom+++=proportion
of ^in++++=of
variance ^nn+nom+++=variance
from ^in++++=from
each ^dt++++=each
item ^nn++++=item
( ^zz++++=(Hair
hair ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
" ^zz++++="environmental
environmental ^jj+atrb+++=EXTRAWORD
enhancement ^nn+nom+++=enhancement"
" ^zz++++=EXTRAWORD
accounted ^vprf+++xvbn+=accounted
for ^in+ppvb+++=for
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
proportion ^nn+nom+++=proportion
of ^in++++=of
explained ^vbd+vpub++xvbn+=explained
variance ^nn+nom+++=variance
( ^zz++++=(20.33%),
20.33% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
" ^zz++++="subjective
subjective ^jj+atrb+++=EXTRAWORD
conformity ^nn+nom+++=conformity,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="mood
mood ^nn++++=EXTRAWORD
and ^cc++++=and
confidence ^nn+nom+++=confidence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="attention
attention ^nn+nom+++=EXTRAWORD
seeking ^vwbg+++xvbg+=seeking,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="social
social ^jj+atrb+++=EXTRAWORD
competition ^nn+nom+++=competition"
" ^zz++++=EXTRAWORD
accounted ^vprf+++xvbn+=accounted
for ^in+ppvb+++=for
78.22 ^cd++++=78.22%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
67.88 ^cd++++=67.88%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
52.34 ^cd++++=52.34%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
38.94 ^cd++++=38.94%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
variance ^nn+nom+++=variance
explained ^vbd+vpub++xvbn+=explained
for ^in++++=for
each ^dt++++=each
respective ^jj+atrb+++=respective
factor ^nn++++=factor
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
table ^nn++++=Table
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
