Transmission ^nn++++=Transmission
Dehydration ^np+nom++??+=Dehydration
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
a ^at++++=a
graded ^jj+atrb++xvbn+=graded
acetone ^nn+++??+=acetone
series ^nn++++=series
( ^zz++++=(30
30 ^cd++++=EXTRAWORD
100 ^cd++++=100%
% ^zz++++=EXTRAWORD
v ^zz++++=v/v),
followed ^nn++++=followed
by ^in++++=by
pre ^nn+++??+=pre-infiltration
- ^zz++++=EXTRAWORD
infiltration ^nn+nom+++=EXTRAWORD
in ^in++++=in
graded ^jj+atrb++xvbn+=graded
mixtures ^nns++++=mixtures
of ^in++++=of
acetone ^nn+++??+=acetone
and ^cc++++=and
Spurr ^np+++??+=Spurr
resin ^nn++++=resin
( ^zz++++=(ratios
ratios ^nns++++=EXTRAWORD
of ^in++++=of
3:1 ^cd++++=3:1,
, ^zz++++=EXTRAWORD
2:1 ^cd++++=2:1,
, ^zz++++=EXTRAWORD
1:1 ^cd++++=1:1,
, ^zz++++=EXTRAWORD
1:2 ^cd++++=1:2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
1:3 ^cd++++=1:3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
final ^jj+atrb+++=final
infiltration ^nn+nom+++=infiltration
in ^in++++=in
pure ^jj+atrb+++=pure
Spurr ^np+++??+=Spurr
resin ^nn++++=resin.
. ^zz++++=EXTRAWORD
Ultrathin ^np+++??+=Ultrathin
sections ^nns+nom+++=sections
( ^zz++++=(60
60 ^cd++++=EXTRAWORD
90 ^cd++++=90
nm ^nn+++??+=nm)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
prepared ^vpsv++agls+xvbnx+=prepared
using ^vbg+++xvbg+=using
a ^at++++=a
Power ^nn++++=Power
Tome ^np+++??+=Tome
Xl ^np+++??+=XL
ultramicrotome ^nn+++??+=ultramicrotome
with ^in++++=with
a ^at++++=a
diamond ^nn++++=diamond
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sections ^nns+nom+++=sections
were ^vbd+bed+aux++=were
stained ^vpsv++agls+xvbnx+=stained
with ^in++++=with
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
uranyl ^nn+++??+=uranyl
acetate ^nn+nom+++=acetate
and ^cc++++=and
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
lead ^nn++++=lead
citrate ^nn+nom+++=citrate.
. ^zz++++=EXTRAWORD
Images ^nns++++=Images
were ^vbd+bed+aux++=were
acquired ^vpsv++agls+xvbnx+=acquired
using ^vbg+++xvbg+=using
a ^at++++=a
Jeol ^np+++??+=Jeol
Jem1011 ^np+++??+=JEM1011
transmission ^nn++++=transmission
electron ^nn++++=electron
microscope ^nn++++=microscope
( ^zz++++=(JEOL
jeol ^nn+++??+=EXTRAWORD
Ltd ^jj++++=Ltd.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tokyo ^np+++??+=Tokyo,
, ^zz++++=EXTRAWORD
Japan ^np++++=Japan)
) ^zz++++=EXTRAWORD
at ^in++++=at
Ceml ^np+++??+=CEML-UFSC,
- ^zz++++=EXTRAWORD
ufsc ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
relevant ^jj+atrb+++=relevant
observations ^nns+nom+++=observations
were ^vbd+bed+aux++=were
documented ^vpsv++agls+xvbn+=documented
in ^in++++=in
micrographs ^nns++++=micrographs.
. ^zz++++=EXTRAWORD
