Given ^vbd+++xvbn+=Given
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
classification ^nn+nom+++=classification
is ^vbz+bez+aux++=is
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
whether ^cs+who+++=whether
specific ^jj+atrb+++=specific
capital ^nn++++=capital
flows ^nns++++=flows
have ^vb+hv+vrb++=have
expansionary ^nn+nom+++=expansionary
or ^cc++++=or
contractionary ^nn+nom+++=contractionary
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Blanchard ^np++++=Blanchard
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bond ^np++++=bond
flows ^nns++++=flows
are ^vb+ber+vrb++=are
contractionary ^nn+nom+++=contractionary,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
Is ^vbz+bez+vrb++=IS-LM-BP
- ^zz++++=EXTRAWORD
lm ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
bp ^nn+++??+=EXTRAWORD
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
tend ^vb++++=tend
to ^to+vcmp+++=to
appreciate ^nn+nom+++=appreciate
the ^ati++++=the
exchange ^nn++++=exchange
rate ^nn++++=rate
without ^in++++=without
contributing ^nn++++=contributing
to ^in++++=to
an ^at++++=an
expansion ^nn++++=expansion
of ^in++++=of
domestic ^jj+atrb+++=domestic
credit ^nn++++=credit
denominated ^vbd+++xvbn+=denominated
in ^in++++=in
foreign ^jj+atrb+++=foreign
currency ^nn++++=currency.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-bond
- ^zz++++=EXTRAWORD
bond ^np++++=EXTRAWORD
flows ^vbz++++=flows
can ^md+pos+++=can
be ^vb+be+vrb++=be
either ^dtx++++=either
expansionary ^nn+nom+++=expansionary
or ^cc++++=or
contractionary ^nn+nom+++=contractionary,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
their ^pp$+pp3+++=their
net ^jjb+atrb+++=net
impact ^nn++++=impact
on ^in++++=on
economic ^jj+atrb+++=economic
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
Non ^&fw++++=Non-bond
- ^zz++++=EXTRAWORD
bond ^np++++=EXTRAWORD
flows ^vbz++++=flows
both ^abx++++=both
appreciate ^nn+nom+++=appreciate
the ^ati++++=the
exchange ^nn++++=exchange
rate ^nn++++=rate
and ^cc++++=and
expand ^vb++++=expand
domestic ^jj++++=domestic
credit ^vb++++=credit
backed ^vpsv++by+xvbn+=backed
by ^in++++=by
foreign ^jj+atrb+++=foreign
currency ^nn++++=currency;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
credit ^nn++++=credit
expansion ^nn++++=expansion
effect ^nn++++=effect
outweighs ^nns+++??+=outweighs
the ^ati++++=the
appreciation ^nn+nom+++=appreciation
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
impact ^nn++++=impact
is ^vbz+bez+vrb++=is
expansionary ^nn+nom+++=expansionary.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
controls ^vbz++++=controls
on ^in++++=on
bond ^np++++=bond
inflows ^nns++++=inflows
are ^vb+ber+aux++=are
always ^rb++splt++=always
considered ^vpsv++agls+xvbnx+=considered
desirable ^jj++++=desirable,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
controls ^vbz++++=controls
on ^in++++=on
non ^&fw++++=non-bond
- ^zz++++=EXTRAWORD
bond ^np++++=EXTRAWORD
inflows ^nns++++=inflows
are ^vb+ber+aux++=are
only ^rb+down+splt++=only
warranted ^vpsv++agls+xvbnx+=warranted
if ^cs+cnd+++=if
their ^pp$+pp3+++=their
net ^jjb+atrb+++=net
effect ^nn++++=effect
is ^vbz+bez+vrb++=is
contractionary ^nn+nom+++=contractionary
( ^zz++++=(Blanchard
blanchard ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
