Two ^cd++++=Two
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
computerized ^vbd+++xvbn+=computerized
learner ^nn++++=learner
corpus ^nn++++=corpus
made ^vbd+++xvbn+=made
available ^jj++++=available
for ^in++++=for
research ^nn++++=research,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Llc ^np+++??+=LLC
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
commercially ^rb++++=commercially
available ^jj++++=available
for ^in++++=for
research ^nn++++=research
purposes ^nns++++=purposes
( ^zz++++=(Tono,
tono ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
800 ^cd++++=800).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
version ^nn++++=version
of ^in++++=of
Icle ^np+++??+=ICLE
contains ^vbz++++=contains
over ^in++++=over
5.5 ^cd++++=5.5
million ^cd++++=million
words ^nns++++=words
( ^zz++++=(Granger
granger ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Llc ^np+++??+=LLC
comprises ^vbz++++=comprises
10 ^cd++++=10
million ^cd++++=million
words ^nns++++=words
( ^zz++++=(Tono,
tono ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
more ^rbr++++=more
recent ^jj+atrb+++=recent
updates ^nns+nom+++=updates
for ^in++++=for
llc ^np++++=LLC
are ^vb+ber+vrb++=are
not ^xnot++not++=not
available ^jj++++=available
on ^in++++=on
its ^pp$+it+++=its
website ^nn++++=website.
. ^zz++++=EXTRAWORD
