Since ^in++++=Since
and ^cc+phrs+++=and
medical ^jj+atrb+++=medical
fields ^nns++++=fields
during ^in++++=during
the ^ati++++=the
2020 ^cd++++=2020-2021
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
academic ^jj+atrb+++=academic
year ^nn++++=year
in ^in++++=in
Mexico ^np++++=Mexico.
. ^zz++++=EXTRAWORD
A ^at++++=A
voluntary ^jj++++=voluntary,
, ^zz++++=EXTRAWORD
national ^jj+atrb+++=national,
, ^zz++++=EXTRAWORD
anonymous ^jj+atrb+++=anonymous
online ^nn+++??+=online
survey ^vb++++=survey
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
official ^jj+atrb+++=official
database ^nn+++??+=database
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Association ^nn+nom+++=Association
of ^in++++=of
Universities ^nns+nom+++=Universities
and ^cc++++=and
Higher ^jjr+atrb+++=Higher
Education ^nn+nom+++=Education
Institutions ^nns+nom+++=Institutions
in ^in++++=in
Mexico ^np++++=Mexico
( ^zz++++=(ANUIES)
anuies ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
983 ^cd++++=983
valid ^jj+atrb+++=valid
responses ^nns++++=responses
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
interval ^nn+nom+++=interval),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
mid ^jjb++++=mid-2021,
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
aged ^jj++++=aged
14 ^cd++++=14-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
Mexico ^np++++=Mexico
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
positive ^jj+atrb+++=positive
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science;
; ^zz++++=EXTRAWORD
69 ^cd++++=69%
% ^zz++++=EXTRAWORD
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
pandemic ^jj++++=pandemic
improved ^jj+++xvbn+=improved
their ^pp$+pp3+++=their
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
72 ^cd++++=72%
% ^zz++++=EXTRAWORD
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
23 ^cd++++=23%
% ^zz++++=EXTRAWORD
and ^cc++++=and
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
experiences ^nns+nom+++=experiences
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic
influenced ^vwbn+++xvbn+=influenced
their ^pp$+pp3+++=their
decision ^nn++++=decision
to ^to+ncmp+++=to
pursue ^vbi++++=pursue
science ^nn+nom+++=science
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
careers ^nns+nom+++=careers,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
frequently ^rb++++=frequently
cited ^vwbn+++xvbn+=cited
reason ^nn++++=reason
( ^zz++++=(40-50%)
40 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
50 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
choosing ^xvbg+++xvbg+=choosing
these ^dt+dem+++=these
careers ^nns+nom+++=careers
was ^vbd+bedz+vrb++=was
an ^at++++=an
intrinsic ^jj+atrb+++=intrinsic
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
subject ^nn++++=subject
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
only ^rb+down+++=only
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
the ^ati++++=the
pandemic ^jj++++=pandemic
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
reason ^nn++++=reason
for ^in++++=for
their ^pp$+pp3+++=their
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
the ^ati++++=the
Anuies ^np+++??+=ANUIES
database ^vb+++??+=database
revealed ^vbd+vprv++xvbn+=revealed
a ^at++++=a
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
increase ^nn++++=increase
in ^in++++=in
first ^od++++=first-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
applications ^nns+nom+++=applications
to ^in++++=to
scientific ^jj+atrb+++=scientific
programs ^nns+++??+=programs
and ^cc++++=and
a ^at++++=a
17 ^cd++++=17%
% ^zz++++=EXTRAWORD
increase ^nn++++=increase
to ^in++++=to
health ^nn++++=health
care ^nn++++=care
programs ^nns+++??+=programs
for ^in++++=for
the ^ati++++=the
2020 ^cd++++=2020-2021
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
academic ^jj+atrb+++=academic
year ^nn++++=year
compared ^vbd+++xvbn+=compared
to ^to++++=to
2019 ^cd++++=2019-2020,
- ^zz++++=EXTRAWORD
2020 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
enrollment ^nn+nom+++=enrollment
partially ^rb+down+++=partially
constrained ^vpsv++by+xvbn+=constrained
by ^in++++=by
available ^jj+atrb+++=available
capacity ^nn+nom+++=capacity.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic
has ^vbz+hvz+aux++=has
contributed ^vprf+++xvbnx+=contributed
to ^to++++=to
improved ^vbi++++=improved
perceptions ^nns+nom+++=perceptions
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers
among ^in++++=among
adolescents ^nns++++=adolescents
in ^in++++=in
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
have ^vb+hv+aux++=have
influenced ^vprf+++xvbnx+=influenced
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
interest ^nn++++=interest
in ^in++++=in
related ^xvbn+++xvbn+=related
careers ^nns+nom+++=careers.
. ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
research ^nn++++=research
is ^vbz+bez+aux++=is
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
persistence ^nn+nom+++=persistence
and ^cc++++=and
broader ^jjr+atrb+++=broader
implications ^nns+nom+++=implications
of ^in++++=of
these ^dt+dem+++=these
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
similar ^jj+atrb+++=similar
trends ^nns++++=trends
are ^vb+ber+aux++=are
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
other ^ap++++=other
countries ^nns++++=countries
with ^in++++=with
different ^jj+atrb+++=different
public ^nn++++=public
policies ^nns++++=policies,
, ^zz++++=EXTRAWORD
messaging ^jj++++=messaging,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pandemic ^jj+atrb+++=pandemic
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
