With ^in++++=With
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
likely ^jj++++=likely
attributable ^jj++++=attributable
to ^in++++=to
their ^pp$+pp3+++=their
concentration ^nn+nom+++=concentration
in ^in++++=in
occupations ^nns+nom+++=occupations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
less ^rbr++++=less
amenable ^jj+pred+++=amenable
to ^in++++=to
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
41 ^cd++++=41%
% ^zz++++=EXTRAWORD
of ^in++++=of
workers ^nns+nom+++=workers
aged ^jj++++=aged
16 ^cd++++=16
to ^to++++=to
19 ^cd++++=19
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
occupations ^nns+nom+++=occupations
such ^abl++++=such
as ^ql++++=as
store ^nn++++=store
salesperson ^nn+++??+=salesperson,
, ^zz++++=EXTRAWORD
farmer ^nn++++=farmer/gardener,
office ^nn++++=office
clerk ^nn++++=clerk,
, ^zz++++=EXTRAWORD
bricklayer ^jjr+atrb+++=bricklayer
and ^cc+phrs+++=and
related ^jj+atrb++xvbn+=related
roles ^nns++++=roles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
production ^nn+nom+++=production
assistant ^nn+nom+++=assistant,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
have ^vb+hv+vrb++=have
a ^at++++=a
very ^ql+amp+++=very
low ^jj+atrb+++=low
incidence ^nn+nom+++=incidence
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Figure ^nn++++=Figure
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
1.2 ^cd++++=1.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
young ^jj+atrb+++=young
workers ^nns+nom+++=workers
were ^vbd+bed+aux++=were
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
sector ^nn++++=sector.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
result ^nn++++=result
observed ^vbd+++xvbn+=observed
in ^in++++=in
Figure ^nn++++=Figure
3 ^zz++++=3
reflects ^vbz++++=reflects
the ^ati++++=the
occupational ^jj+atrb+++=occupational
distribution ^nn+nom+++=distribution
of ^in++++=of
young ^jj+atrb+++=young
workers ^nns+nom+++=workers
rather ^rb++++=rather
than ^in++++=than
an ^at++++=an
intrinsic ^jj+atrb+++=intrinsic
age ^nn++++=age
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
