While ^cs+sub+++=While
representing ^vbg+++xvbg+=representing
45.1 ^cd++++=45.1
percent ^nnu++++=percent
of ^in++++=of
the ^ati++++=the
Ojs ^np+++??+=OJS-using
- ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=EXTRAWORD
journals ^nns+nom+++=journals
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
publisher ^nn+nom+++=publisher
with ^in++++=with
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
journals ^nns+nom+++=journals
listed ^vwbn+++xvbn+=listed
in ^in++++=in
Cabells ^np+++??+=Cabells
Predatory ^jj+atrb+++=Predatory
Reports ^nns++++=Reports,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
prepared ^vbd+++xvbn+=prepared
an ^at++++=an
email ^nn++++=email
addressed ^vbd+++xvbn+=addressed
to ^in++++=to
the ^ati++++=the
publisher ^nn+nom+++=publisher
and ^cc++++=and
editors ^nns++++=editors,
, ^zz++++=EXTRAWORD
detailing ^nn+nom+++=detailing
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
violations ^nns+nom+++=violations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
adopted ^vpsv++agls+xvbnx+=adopted
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
unlikely ^jj+pred+++=unlikely
that ^tht+jcmp+++=that
these ^dt+dem+++=these
publishers ^nns+nom+++=publishers
would ^md+prd+++=would
otherwise ^rb+cnj+++=otherwise
have ^vb+hv+vrb++=have
access ^nn++++=access
to ^in++++=to
this ^dt+dem+++=this
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
The ^ati++++=The
correspondence ^nn+nom+++=correspondence
also ^rb++++=also
included ^vbd+++xvbn+=included
recommendations ^nns+nom+++=recommendations
for ^in++++=for
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
concerns ^nns++++=concerns
and ^cc++++=and
instructions ^nns+nom+++=instructions
for ^in++++=for
notifying ^j++++=notifying
Cabells ^np+++??+=Cabells
of ^in++++=of
any ^dti++++=any
corrections ^nns+nom+++=corrections
made ^vbd+++xvbn+=made.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
violation ^nn+nom+++=violation,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
recommended ^vbd+vsua++xvbn+=recommended
that ^tht+vcmp+++=that
publishers ^nns+nom+++=publishers
enroll ^nn+++??+=enroll
their ^pp$+pp3+++=their
journals ^nns+nom+++=journals
in ^in++++=in
the ^ati++++=the
Pkp ^np+++??+=PKP
Preservation ^nn+nom+++=Preservation
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
available ^jj+pred+++=available
to ^in++++=to
all ^abn++++=all
Ojs ^np+++??+=OJS
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
publicly ^rb++++=publicly
post ^nn++++=post
this ^dt+dem+++=this
as ^ql++++=as
their ^pp$+pp3+++=their
preservation ^nn+nom+++=preservation
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
emailing ^nn+nom+++=emailing
publishers ^nns+nom+++=publishers
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
completed ^vpsv++agls+xvbnx+=completed
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
submitting ^xvbg+++xvbg+=submitting
this ^dt+dem+++=this
chapter ^nn++++=chapter
for ^in++++=for
publication ^nn+nom+++=publication,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
not ^xnot++not++=not
yet ^rb++++=yet
able ^jj++++=able
to ^to+jcmp+++=to
report ^vb++++=report
on ^in++++=on
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
this ^dt+dem+++=this
intervention ^nn+nom+++=intervention.
. ^zz++++=EXTRAWORD
