Some ^dti++++=Some
the ^ati++++=the
mean ^jj+atrb+++=mean
degree ^nn++++=degree
centrality ^nn+nom+++=centrality
of ^in++++=of
the ^ati++++=the
network ^nn++++=network
and ^cc++++=and
\(\sigma\ ^nn+++??+=\(\sigma\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation
of ^in++++=of
degree ^nn++++=degree
centrality ^nn+nom+++=centrality
values ^nns++++=values.
. ^zz++++=EXTRAWORD
To ^to++++=To
assess ^vbi++++=assess
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
central ^jj+atrb+++=central
cheater ^jjr+atrb+++=cheater
species ^nn++++=species
on ^in++++=on
trait ^nn++++=trait
evolution ^nn+nom+++=evolution,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
designated ^vbd+++xvbn+=designated
all ^abn++++=all
species ^nns++++=species
with ^in++++=with
\(s_i ^nn+++??+=\(S_i
> ^zz++++=>
1\ ^cd++++=1\)
) ^zz++++=EXTRAWORD
as ^ql++++=as
exclusive ^jj+atrb+++=exclusive
cheaters ^nns+nom+++=cheaters,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
creating ^vbg+++xvbg+=creating
a ^at++++=a
network ^nn++++=network
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
most ^ql+emph+++=most
central ^jj+atrb+++=central
species ^nns++++=species
function ^nn+nom+++=function
as ^ql++++=as
obligate ^nn+nom+++=obligate
cheaters ^nns+nom+++=cheaters,
, ^zz++++=EXTRAWORD
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
central ^jj+atrb+++=Central
scenario ^nn++++=scenario.
. ^zz++++=EXTRAWORD
