Current ^jj+atrb+++=Current
interactions ^nns+nom+++=interactions
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
negative ^jj+atrb+++=negative
effect ^nn++++=effect
on ^in++++=on
one ^cd1++++=one
partner ^nn++++=partner
and ^cc++++=and
a ^at++++=a
positive ^jj+atrb+++=positive
effect ^nn++++=effect
on ^in++++=on
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
evolutionary ^jj+atrb+++=evolutionary
changes ^nns++++=changes
can ^md+pos+++=can
propagate ^nn+nom+++=propagate
through ^in++++=through
indirect ^jj+atrb+++=indirect
effects ^nns++++=effects
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
influencing ^vbg+++xvbg+=influencing
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
species ^nn++++=species
traits ^nns++++=traits
and ^cc++++=and
ultimately ^rb++++=ultimately
shaping ^nvbg+++xvbg+=shaping
species ^nns++++=species
interactions ^nns+nom+++=interactions
within ^in++++=within
the ^ati++++=the
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
non ^&fw++++=non-random
- ^zz++++=EXTRAWORD
random ^rb++++=EXTRAWORD
structure ^nn++++=structure
of ^in++++=of
interaction ^nn+nom+++=interaction
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
central ^jj+atrb+++=central
species ^nn++++=species
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
important ^jj+pred+++=important
for ^in++++=for
maintaining ^xvbg+++xvbg+=maintaining
network ^nn++++=network
structure ^nn++++=structure
and ^cc++++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
for ^in++++=for
stabilizing ^xvbg+++xvbg+=stabilizing
selection ^nn+nom+++=selection
pressures ^nns++++=pressures
among ^in++++=among
species ^nn++++=species
within ^in++++=within
the ^ati++++=the
network ^nn++++=network
( ^zz++++=(Mart
mart ^np++++=EXTRAWORD
n ^zz++++=n
Gonz ^np+++??+=Gonz
les ^&fw++++=les
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
central ^jj+atrb+++=central
cheaters ^nns+nom+++=cheaters
on ^in++++=on
mutualistic ^jj+atrb+++=mutualistic
coevolutionary ^nn+nom+++=coevolutionary
dynamics ^nn++++=dynamics
remain ^vb++++=remain
poorly ^rb++++=poorly
understood ^vpsv++agls+xvbn+=understood.
. ^zz++++=EXTRAWORD
