It ^pp3+it+++=It
Q1 ^np+++??+=Q1-A1
- ^zz++++=EXTRAWORD
a1 ^nn+++??+=EXTRAWORD
pair ^nn++++=pair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
functions ^nns+nom+++=functions
as ^in++++=as
an ^at++++=an
insertion ^nn+nom+++=insertion
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
Yule ^np++++=Yule
further ^jjb+atrb+++=further
notes ^vb++++=notes
that ^tht+vcmp+++=that
although ^cs+con+++=although
Q2 ^np+++??+=Q2
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
question ^nn+nom+++=question
in ^in++++=in
response ^nn++++=response
to ^in++++=to
Q1 ^np+++??+=Q1,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
assumed ^vpsv++agls+xvbnx+=assumed
that ^tht+vcmp+++=that
once ^rb+tm+++=once
the ^ati++++=the
second ^od++++=second
part ^nn++++=part
( ^zz++++=(A2)
a2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
insertion ^nn+nom+++=insertion
sequence ^nn+nom+++=sequence
is ^vbz+bez+aux++=is
provided ^vpsv++agls+xvbnx+=provided,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
part ^nn++++=part
( ^zz++++=(A1)
a1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
initial ^jj+atrb+++=initial
question ^nn+nom+++=question
( ^zz++++=(Q1)
q1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
will ^md+prd+++=will
subsequently ^rb+tm+splt++=subsequently
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Coulthard ^np+++??+=Coulthard
and ^cc++++=and
Brazil ^np++++=Brazil
 ^zz++++=(1992,
992 ^np+date+++=EXTRAWORD
 ^zz++++=EXTRAWORD
P ^zz++++=p.
 ^zz++++=EXTRAWORD
2 ^cd++++=52)
	 ^zz++++=EXTRAWORD
Observe ^vb+vprv+++=observe:
 ^zz++++=EXTRAWORD
