Due ^jj+cmpx+++=Due
likelihood ^nn+nom+++=likelihood
of ^in++++=of
reduced ^vbd+++xvbn+=reduced
working ^jj+atrb++xvbg+=working
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
job ^nn++++=job
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
earnings ^nns++++=earnings
reductions ^nns+nom+++=reductions
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
among ^in++++=among
workers ^nns+nom+++=workers
in ^in++++=in
alternative ^jj+atrb+++=alternative
employment ^nn+nom+++=employment
arrangements ^nns+nom+++=arrangements,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
in ^in++++=in
occupations ^nns+nom+++=occupations
with ^in++++=with
limited ^vwbn+++xvbn+=limited
potential ^jj++++=potential
for ^in++++=for
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
with ^in++++=with
lower ^jjr+atrb+++=lower
educational ^jj+atrb+++=educational
attainment ^nn+nom+++=attainment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Montenovo ^np+++??+=Montenovo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub+tht0+xvbn+=reported
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
job ^nn++++=job
losses ^nns++++=losses
were ^vbd+bed+vrb++=were
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
in ^in++++=in
occupations ^nns+nom+++=occupations
requiring ^vwbg+vsua++xvbg+=requiring
interpersonal ^jj+atrb+++=interpersonal
contact ^nn++++=contact
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
less ^rbr++++=less
amenable ^jj++++=amenable
to ^in++++=to
remote ^jj+atrb+++=remote
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Gallacher ^np+nom++??+=Gallacher
and ^cc++++=and
Hossain ^np+++??+=Hossain
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
Canadian ^jj+atrb+++=Canadian
labor ^nn++++=labor
market ^nn++++=market,
, ^zz++++=EXTRAWORD
observed ^vb+++xvbn+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
most ^ql+emph+++=most
significant ^jj+atrb+++=significant
job ^nn++++=job
losses ^nns++++=losses
between ^in++++=between
March ^nn++++=March
and ^cc++++=and
April ^nr++++=April
occurred ^vbd+++xvbn+=occurred
among ^in++++=among
workers ^nns+nom+++=workers
with ^in++++=with
limited ^jj+atrb+++=limited
opportunities ^nns+nom+++=opportunities
to ^in++++=to
work ^nn++++=work
from ^in++++=from
home ^nr++++=home.
. ^zz++++=EXTRAWORD
