There ^ex+pex+++=There
favorable ^&fw++++=favorable
image ^nn++++=image,
, ^zz++++=EXTRAWORD
posting ^vbg+++xvbg+=posting
it ^pp3+it+++=it
online ^nn+++??+=online,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
subsequently ^rb+tm+++=subsequently
monitoring ^jj+++xvbg+=monitoring
and ^cc+phrs+++=and
evaluating ^jj+++xvbg+=evaluating
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
" ^zz++++="likes"
likes ^vbz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
comments ^nns+nom+++=comments
received ^vbd+++xvbn+=received
( ^zz++++=(Balakrishnan
balakrishnan ^jj++++=EXTRAWORD
and ^cc++++=and
Griffiths ^np++++=Griffiths,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Mclean ^np+++??+=McLean
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Approximately ^rb+down+++=Approximately
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
global ^jj+atrb+++=global
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
estimated ^j+++xvbn+=estimated
at ^rb++++=at
7.6 ^cd++++=7.6
billion ^cd++++=billion,
, ^zz++++=EXTRAWORD
uses ^vbz++++=uses
some ^dti++++=some
form ^nn++++=form
of ^in++++=of
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
with ^in++++=with
reports ^nns++++=reports
suggesting ^nn+vpub++xvbg+=suggesting
that ^tht+ncmp+++=that
over ^rp++++=over
170 ^cd++++=170
million ^cd++++=million
selfies ^nns++++=selfies
are ^vb+ber+aux++=are
shared ^vpsv++agls+xvbnx+=shared
daily ^jj++++=daily
( ^zz++++=(Kemp,
kemp ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
results ^vbz++++=results
in ^in++++=in
a ^at++++=a
substantial ^jj+atrb+++=substantial
volume ^nn++++=volume
of ^in++++=of
selfies ^nn++++=selfies
posted ^vbd+++xvbn+=posted
worldwide ^nn+++??+=worldwide
each ^ppls++++=each
day ^np++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+nom+++=prevalence
of ^in++++=of
selfie ^nn+++??+=selfie-sharing
- ^zz++++=EXTRAWORD
sharing ^xvbg+++xvbg+=EXTRAWORD
varies ^vbz++++=varies
across ^in+pl+++=across
platforms ^nns++++=platforms;
; ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
on ^in++++=on
Snapchat ^np+++??+=Snapchat,
, ^zz++++=EXTRAWORD
74 ^cd++++=74%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
images ^nns++++=images
shared ^vbd+++xvbn+=shared
are ^vb+ber+aux++=are
selfies ^vbz++++=selfies
( ^zz++++=(Reilly
reilly ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
claims ^nns++++=claims
regarding ^in++++=regarding
the ^ati++++=the
American ^jj+atrb+++=American
Psychiatric ^jj+atrb+++=Psychiatric
Association ^nn+nom+++=Association
( ^zz++++=(APA)
apa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
officially ^rb++++=officially
recognizing ^vbg+++xvbg+=recognizing
" ^zz++++="selfitis"
selfitis ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
mental ^jj+atrb+++=mental
disorder ^nn+nom+++=disorder
are ^vb+ber+aux++=are
not ^xnot++not++=not
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
current ^jj+atrb+++=current
Apa ^np+++??+=APA
Publications ^nns+nom+++=publications
Or ^cc++++=or
Diagnostic ^jj+atrb+++=diagnostic
Manuals ^nns+nom+++=manuals
 ^zz++++=(Vincent,
Vincent ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
014 ^cd++++=2014).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
