Biological ^jj+atrb+++=Biological
sand ^nn++++=sand
flies ^nns++++=flies
( ^zz++++=(Diptera:
diptera ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Psychodidae ^np+++??+=Psychodidae,
, ^zz++++=EXTRAWORD
Phlebotominae ^np+++??+=Phlebotominae).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sand ^nn++++=Sand
flies ^nns++++=flies
are ^vb+ber+vrb++=are
of ^in++++=of
notable ^jj+atrb+++=notable
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
public ^jj+atrb+++=public
health ^nn++++=health
importance ^nn+nom+++=importance
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
blood ^nn++++=blood-feeding
- ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=EXTRAWORD
adult ^nn++++=adult
females ^nns++++=females
in ^in++++=in
transmitting ^xvbg+++xvbg+=transmitting
protozoan ^jj+atrb+++=protozoan
parasites ^nns++++=parasites
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Leishmania ^np+++??+=Leishmania,
, ^zz++++=EXTRAWORD
the ^ati++++=the
causative ^jj+atrb+++=causative
agents ^nns++++=agents
of ^in++++=of
leishmaniases ^nns+++??+=leishmaniases,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
other ^ap++++=other
bacterial ^jj+atrb+++=bacterial
and ^cc+phrs+++=and
viral ^jj+atrb+++=viral
pathogens ^nns++++=pathogens
that ^tht+rel+subj++=that
affect ^vb++++=affect
both ^abx++++=both
human ^jj++++=human
and ^cc++++=and
non ^&fw++++=non-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
vertebrates ^nns+nom+++=vertebrates
[ ^zz++++=[3].
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specimens ^nns++++=Specimens
in ^in++++=in
Fiocruz ^np+++??+=FIOCRUZ/COLFLEB
originate ^nn+nom+++=originate
from ^in++++=from
a ^at++++=a
range ^nn++++=range
of ^in++++=of
research ^nn++++=research
projects ^vbz++++=projects
conducted ^vbd+++xvbn+=conducted
over ^in++++=over
approximately ^rb+down+++=approximately
the ^ati++++=the
past ^jjb++++=past
80 ^cd++++=80
years ^nns++++=years,
, ^zz++++=EXTRAWORD
encompassing ^jj+++xvbg+=encompassing
both ^abx++++=both
areas ^nns++++=areas
with ^in++++=with
active ^jj+atrb+++=active
disease ^nn++++=disease
transmission ^nn++++=transmission
and ^cc++++=and
wild ^jj+atrb+++=wild
environments ^nns+nom+++=environments
without ^in++++=without
recorded ^vbn+vpub++xvbn+=recorded
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sand ^nn++++=sand
flies ^nns++++=flies
are ^vb+ber+aux++=are
typically ^rb++splt++=typically
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
light ^jj+atrb+++=light
traps ^nns++++=traps
and ^cc++++=and
are ^vb+ber+aux++=are
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
trained ^xvbn+++xvbn+=trained
specialists ^nns+nom+++=specialists
employing ^xvbg+++xvbg+=employing
established ^vwbn+vprv++xvbn+=established
taxonomic ^jj+atrb+++=taxonomic
keys ^nns++++=keys
[ ^zz++++=[2,4].
2,4 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
specimens ^nns++++=specimens
support ^nn++++=support
research ^nn++++=research
in ^in++++=in
taxonomy ^nn+++??+=taxonomy
and ^cc++++=and
systematics ^nns++++=systematics
[ ^zz++++=[5,6,7],
5,6,7 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
data ^nns++++=data
facilitate ^nn+nom+++=facilitate
applications ^nns+nom+++=applications
such ^abl++++=such
as ^ql++++=as
ecological ^jj+atrb+++=ecological
niche ^nn++++=niche
and ^cc++++=and
species ^nn++++=species
distribution ^nn+nom+++=distribution
modeling ^nn+nom+++=modeling
[ ^zz++++=[8],
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
scientific ^jj++++=scientific
uses ^vbz++++=uses
[ ^zz++++=[9].
9 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
