Regarding ^in++++=Regarding
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+++=believe
( ^zz++++=(that)",
that) ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know",
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me"
" ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
present ^vb++++=present
an ^at++++=an
opinion ^nn++++=opinion
but ^cc++++=but
also ^rb++++=also
serve ^vb++++=serve
a ^at++++=a
mitigating ^jj+atrb++xvbg+=mitigating
function ^nn+nom+++=function
by ^in++++=by
acknowledging ^xvbg+++xvbg+=acknowledging
the ^ati++++=the
interlocutor ^nn++++=interlocutor
s ^zz++++=s
presence ^nn+nom+++=presence
and ^cc++++=and
lessening ^nvbg+++xvbg+=lessening
the ^ati++++=the
speaker ^npt++++=speaker
s ^zz++++=s
accountability ^nn+nom+++=accountability
for ^in++++=for
the ^ati++++=the
stated ^jj+atrb++xvbn+=stated
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
Judge ^nn++++=Judge
states ^nns++++=states,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
question ^nn+nom+++=question
frames ^nns++++=frames
her ^pp3o+pp3+++=her
answers ^nns+nom+++=answers,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
it ^pp3+it+++=it
s ^zz++++=s
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
provides ^vbz+vsua+++=provides
justification ^nn+nom+++=justification
for ^in++++=for
sustaining ^xvbg+++xvbg+=sustaining
the ^ati++++=the
objection ^nn+nom+++=objection.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
question ^nn+nom+++=question
is ^vbz+bez+vrb++=is
specific ^jj+pred+++=specific
what ^wdt+who+++=what
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
rather ^rb++++=rather
than ^cs+sub+++=than
who ^whp+who+++=who
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
the ^ati++++=the
defendant ^nn+nom+++=defendant
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
respond ^vbi++++=respond
directly ^rb+cnj+++=directly,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
the ^ati++++=the
response ^nn++++=response
may ^md+pos+++=may
be ^vb+be+vrb++=be
subject ^nn++++=subject
to ^in++++=to
objection ^nn+nom+++=objection.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
interrogative ^jj+atrb+++=interrogative
pronoun ^nn++++=pronoun
" ^zz++++="what"
what ^wdt+who+++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
question ^nn+nom+++=question
clearly ^rb++++=clearly
restricts ^vbz++++=restricts
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
acceptable ^jj+atrb+++=acceptable
answers ^nns+nom+++=answers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Judge ^nn++++=Judge
employs ^vbz++++=employs
the ^ati++++=the
opinion ^nn++++=opinion
marker ^nn++++=marker
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think"
" ^zz++++=EXTRAWORD
to ^to++++=to
assert ^vbi+vpub+++=assert
that ^tht+vcmp+++=that
the ^ati++++=the
objection ^nn+nom+++=objection
is ^vbz+bez+vrb++=is
appropriate ^jj+pred+++=appropriate.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
strategy ^nn++++=strategy
serves ^vbz++++=serves
to ^to++++=to
soften ^vbi++++=soften
her ^pp$+pp3+++=her
responsibility ^nn+nom+++=responsibility
for ^in++++=for
the ^ati++++=the
statement ^nn+nom+++=statement
and ^cc++++=and
simultaneously ^rb+tm+++=simultaneously
helps ^vbz++++=helps
to ^to+vcmp+++=to
maintain ^vbi+vpub+tht0++=maintain
her ^pp$+pp3+++=her
positive ^jj+atrb+++=positive
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
approach ^nn++++=approach
may ^md+pos+++=may
be ^vb+be+aux++=be
perceived ^vbd+vprv++xvbn+=perceived
by ^in++++=by
listeners ^nns+nom+++=listeners
as ^in++++=as
a ^at++++=a
fair ^jj+atrb+++=fair
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
